E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=TRX early=1 bars=48569 thr=2.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  1270     -200  0.68    -331.3 |  1041   -630.0 |    955   -573.0 |      -91     -109 |     -571 | fail
30  0    1   0.50 |  1270     -257  0.61    -331.3 |  1086   -657.2 |    955   -573.0 |      -99     -157 |     -624 | fail
30  0    1   0.75 |  1270     -246  0.65    -340.0 |  1146   -710.8 |    955   -573.0 |      -70     -176 |     -592 | fail
30  0    1   0.90 |  1270     -226  0.69    -408.6 |  1176   -736.3 |    955   -573.0 |      -53     -173 |     -585 | fail
30  0    2   0.20 |  1987     -254  0.73    -682.9 |  1603   -941.2 |   1443   -865.8 |     -109     -144 |     -820 | fail
30  0    2   0.50 |  1987     -418  0.58    -682.9 |  1678   -986.7 |   1443   -865.8 |     -198     -220 |     -985 | fail
30  0    2   0.75 |  1987     -415  0.61    -682.9 |  1785  -1069.0 |   1443   -865.8 |     -153     -261 |     -963 | fail
30  0    2   0.90 |  1987     -413  0.64    -695.8 |  1850  -1132.4 |   1443   -865.8 |     -111     -302 |     -966 | fail
30  0    4   0.20 |  2392     -559  0.49    -682.9 |  1926  -1093.3 |   1671  -1002.6 |     -247     -312 |    -1257 | fail
30  0    4   0.50 |  2392     -629  0.45    -682.9 |  2027  -1146.3 |   1671  -1002.6 |     -323     -306 |    -1314 | fail
30  0    4   0.75 |  2392     -350  0.72    -682.9 |  2170  -1234.0 |   1671  -1002.6 |     -208     -142 |    -1036 | fail
30  0    4   0.90 |  2392     -290  0.78    -682.9 |  2251  -1300.1 |   1671  -1002.6 |     -113     -177 |     -996 | fail
30  0    8   0.20 |  2609     -579  0.49    -190.3 |  2088  -1145.1 |   1753  -1051.8 |     -274     -305 |    -1342 | fail
30  0    8   0.50 |  2609     -688  0.43    -344.9 |  2221  -1207.4 |   1753  -1051.8 |     -294     -395 |    -1415 | fail
30  0    8   0.75 |  2609     -299  0.77    -400.3 |  2383  -1300.4 |   1753  -1051.8 |     -180     -118 |     -999 | fail
30  0    8   0.90 |  2609     -138  0.90    -568.1 |  2460  -1349.4 |   1753  -1051.8 |      -96      -42 |     -876 | fail
30  0    12  0.20 |  2511     -657  0.41    -227.4 |  2026  -1119.6 |   1673  -1003.8 |     -280     -376 |    -1373 | fail
30  0    12  0.50 |  2511     -735  0.37    -344.9 |  2147  -1170.2 |   1673  -1003.8 |     -291     -445 |    -1448 | fail
30  0    12  0.75 |  2511     -616  0.51    -344.9 |  2304  -1250.5 |   1673  -1003.8 |     -257     -359 |    -1319 | fail
30  0    12  0.90 |  2511     -223  0.83    -407.9 |  2394  -1308.3 |   1673  -1003.8 |     -154      -69 |    -1145 | fail
60  0    1   0.20 |  1270     -346  0.59    -331.3 |   987   -840.9 |    836   -752.4 |     -170     -176 |     -703 | fail
60  0    1   0.50 |  1270     -417  0.52    -331.3 |  1047   -876.2 |    836   -752.4 |     -184     -233 |     -766 | fail
60  0    1   0.75 |  1270     -420  0.55    -340.0 |  1120   -943.2 |    836   -752.4 |     -150     -270 |     -726 | fail
60  0    1   0.90 |  1270     -385  0.60    -408.6 |  1156   -975.7 |    836   -752.4 |     -129     -257 |     -715 | fail
60  0    2   0.20 |  1987     -485  0.62    -682.9 |  1527  -1265.2 |   1266  -1139.4 |     -256     -229 |    -1046 | fail
60  0    2   0.50 |  1987     -649  0.51    -682.9 |  1618  -1319.3 |   1266  -1139.4 |     -324     -325 |    -1192 | fail
60  0    2   0.75 |  1987     -678  0.52    -682.9 |  1743  -1419.9 |   1266  -1139.4 |     -290     -387 |    -1175 | fail
60  0    2   0.90 |  1987     -636  0.57    -695.8 |  1823  -1491.7 |   1266  -1139.4 |     -235     -400 |    -1171 | fail
60  0    4   0.20 |  2392     -777  0.46    -682.9 |  1807  -1430.3 |   1426  -1283.4 |     -375     -402 |    -1435 | fail
60  0    4   0.50 |  2392     -791  0.47    -682.9 |  1936  -1493.5 |   1426  -1283.4 |     -452     -340 |    -1391 | fail
60  0    4   0.75 |  2392     -442  0.72    -682.9 |  2116  -1597.6 |   1426  -1283.4 |     -310     -131 |    -1104 | fail
60  0    4   0.90 |  2392     -384  0.77    -682.9 |  2223  -1688.4 |   1426  -1283.4 |     -191     -193 |    -1067 | fail
60  0    8   0.20 |  2609     -787  0.46    -199.0 |  1953  -1461.5 |   1456  -1310.4 |     -408     -379 |    -1528 | fail
60  0    8   0.50 |  2609     -906  0.41    -344.9 |  2127  -1532.1 |   1456  -1310.4 |     -414     -492 |    -1575 | fail
60  0    8   0.75 |  2609     -439  0.73    -400.3 |  2334  -1652.3 |   1456  -1310.4 |     -283     -156 |    -1064 | fail
60  0    8   0.90 |  2609     -275  0.84    -568.1 |  2430  -1706.8 |   1456  -1310.4 |     -195      -81 |     -934 | fail
60  0    12  0.20 |  2511     -864  0.39    -227.4 |  1894  -1411.1 |   1379  -1241.1 |     -400     -464 |    -1563 | fail
60  0    12  0.50 |  2511     -954  0.35    -344.9 |  2063  -1473.2 |   1379  -1241.1 |     -410     -544 |    -1631 | fail
60  0    12  0.75 |  2511     -824  0.48    -344.9 |  2255  -1571.2 |   1379  -1241.1 |     -358     -466 |    -1465 | fail
60  0    12  0.90 |  2511     -342  0.79    -407.9 |  2361  -1635.2 |   1379  -1241.1 |     -169     -172 |    -1240 | fail
