E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=UNI early=1 bars=48569 thr=2.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  3786     -612  0.67    -645.8 |  3110  -1850.9 |   2827  -1696.2 |     -296     -316 |    -1716 | fail
30  0    1   0.50 |  3786     -801  0.59    -645.8 |  3242  -1954.8 |   2827  -1696.2 |     -485     -315 |    -1880 | fail
30  0    1   0.75 |  3786     -873  0.59    -645.8 |  3433  -2117.7 |   2827  -1696.2 |     -521     -352 |    -1919 | fail
30  0    1   0.90 |  3786     -878  0.61   -1069.8 |  3550  -2243.2 |   2827  -1696.2 |     -507     -371 |    -1922 | fail
30  0    2   0.20 |  5398    -1033  0.61    -835.6 |  4415  -2643.9 |   4004  -2402.4 |     -485     -548 |    -2609 | fail
30  0    2   0.50 |  5398    -1301  0.53    -835.6 |  4634  -2796.8 |   4004  -2402.4 |     -697     -604 |    -2838 | fail
30  0    2   0.75 |  5398    -1336  0.56    -835.6 |  4895  -3012.9 |   4004  -2402.4 |     -682     -654 |    -2828 | fail
30  0    2   0.90 |  5398    -1315  0.59    -835.6 |  5068  -3169.5 |   4004  -2402.4 |     -659     -657 |    -2807 | fail
30  0    4   0.20 |  6061    -1236  0.58    -835.6 |  4970  -2931.2 |   4491  -2694.6 |     -543     -692 |    -3049 | fail
30  0    4   0.50 |  6061    -1375  0.55    -835.6 |  5180  -3068.5 |   4491  -2694.6 |     -736     -639 |    -3161 | fail
30  0    4   0.75 |  6061    -1433  0.57    -835.6 |  5507  -3307.2 |   4491  -2694.6 |     -718     -715 |    -3176 | fail
30  0    4   0.90 |  6061    -1333  0.62   -1069.8 |  5706  -3463.4 |   4491  -2694.6 |     -687     -646 |    -3058 | fail
30  0    8   0.20 |  5695    -1242  0.55    -645.8 |  4677  -2748.1 |   4205  -2523.0 |     -496     -745 |    -2923 | fail
30  0    8   0.50 |  5695    -1475  0.49    -645.8 |  4902  -2900.3 |   4205  -2523.0 |     -776     -698 |    -3126 | fail
30  0    8   0.75 |  5695    -1212  0.61    -645.8 |  5206  -3121.2 |   4205  -2523.0 |     -576     -636 |    -2866 | fail
30  0    8   0.90 |  5695    -1105  0.66    -738.2 |  5381  -3255.9 |   4205  -2523.0 |     -518     -587 |    -2756 | fail
30  0    12  0.20 |  4959    -1053  0.56    -441.4 |  4040  -2369.5 |   3615  -2169.0 |     -466     -587 |    -2515 | fail
30  0    12  0.50 |  4959    -1122  0.55    -441.4 |  4245  -2484.8 |   3615  -2169.0 |     -573     -549 |    -2571 | fail
30  0    12  0.75 |  4959    -1010  0.62    -630.4 |  4512  -2681.8 |   3615  -2169.0 |     -480     -530 |    -2413 | fail
30  0    12  0.90 |  4959     -940  0.67    -738.2 |  4701  -2835.3 |   3615  -2169.0 |     -391     -548 |    -2320 | fail
60  0    1   0.20 |  3786    -1065  0.58    -680.6 |  2962  -2528.6 |   2526  -2273.4 |     -560     -505 |    -2148 | fail
60  0    1   0.50 |  3786    -1332  0.50    -680.6 |  3131  -2670.4 |   2526  -2273.4 |     -784     -548 |    -2392 | fail
60  0    1   0.75 |  3786    -1415  0.51    -680.6 |  3368  -2871.1 |   2526  -2273.4 |     -806     -609 |    -2416 | fail
60  0    1   0.90 |  3786    -1384  0.54   -1069.8 |  3506  -3015.7 |   2526  -2273.4 |     -796     -588 |    -2413 | fail
60  0    2   0.20 |  5398    -1633  0.54    -835.6 |  4179  -3551.1 |   3536  -3182.4 |     -833     -800 |    -3202 | fail
60  0    2   0.50 |  5398    -1984  0.47    -835.6 |  4459  -3758.5 |   3536  -3182.4 |    -1063     -921 |    -3522 | fail
60  0    2   0.75 |  5398    -2048  0.49    -835.6 |  4793  -4020.2 |   3536  -3182.4 |    -1053     -994 |    -3520 | fail
60  0    2   0.90 |  5398    -2002  0.52    -835.6 |  5003  -4208.9 |   3536  -3182.4 |    -1014     -987 |    -3492 | fail
60  0    4   0.20 |  6061    -1850  0.53    -835.6 |  4682  -3909.3 |   3915  -3523.5 |     -868     -982 |    -3642 | fail
60  0    4   0.50 |  6061    -2072  0.49    -835.6 |  4949  -4087.6 |   3915  -3523.5 |    -1114     -958 |    -3852 | fail
60  0    4   0.75 |  6061    -2070  0.53    -835.6 |  5367  -4383.5 |   3915  -3523.5 |    -1047    -1023 |    -3802 | fail
60  0    4   0.90 |  6061    -1859  0.59   -1069.8 |  5620  -4567.3 |   3915  -3523.5 |    -1012     -847 |    -3586 | fail
60  0    8   0.20 |  5695    -1817  0.50    -680.6 |  4418  -3649.6 |   3652  -3286.8 |     -861     -956 |    -3473 | fail
60  0    8   0.50 |  5695    -2188  0.43    -680.6 |  4721  -3864.9 |   3652  -3286.8 |    -1211     -976 |    -3773 | fail
60  0    8   0.75 |  5695    -1929  0.53    -680.6 |  5095  -4141.1 |   3652  -3286.8 |    -1041     -888 |    -3500 | fail
60  0    8   0.90 |  5695    -1774  0.59    -738.2 |  5311  -4301.5 |   3652  -3286.8 |     -967     -807 |    -3369 | fail
60  0    12  0.20 |  4959    -1516  0.52    -468.6 |  3810  -3137.8 |   3131  -2817.9 |     -743     -773 |    -2922 | fail
60  0    12  0.50 |  4959    -1590  0.52    -468.6 |  4072  -3298.0 |   3131  -2817.9 |     -804     -786 |    -2949 | fail
60  0    12  0.75 |  4959    -1338  0.62    -630.4 |  4411  -3528.3 |   3131  -2817.9 |     -595     -742 |    -2637 | fail
60  0    12  0.90 |  4959    -1259  0.66    -738.2 |  4637  -3702.8 |   3131  -2817.9 |     -484     -775 |    -2530 | fail
