E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=VET early=1 bars=31062 thr=0.50% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  6883    -1532  0.52    -835.9 |  5603  -3203.4 |   4876  -2925.6 |     -855     -677 |    -3570 | fail
30  0    1   0.50 |  6883    -1721  0.49    -835.9 |  5852  -3350.8 |   4876  -2925.6 |     -932     -790 |    -3723 | fail
30  0    1   0.75 |  6883    -1714  0.51    -835.9 |  6112  -3505.3 |   4876  -2925.6 |     -929     -786 |    -3648 | fail
30  0    1   0.90 |  6883    -1647  0.53    -835.9 |  6138  -3525.7 |   4876  -2925.6 |     -885     -762 |    -3613 | fail
30  0    2   0.20 |  6786    -1625  0.49    -835.9 |  5558  -3168.7 |   4809  -2885.4 |     -948     -677 |    -3627 | fail
30  0    2   0.50 |  6786    -1705  0.49    -835.9 |  5814  -3311.8 |   4809  -2885.4 |     -939     -766 |    -3667 | fail
30  0    2   0.75 |  6786    -1671  0.52    -835.9 |  6099  -3465.6 |   4809  -2885.4 |     -920     -751 |    -3565 | fail
30  0    2   0.90 |  6786    -1613  0.54    -835.9 |  6138  -3492.4 |   4809  -2885.4 |     -894     -719 |    -3531 | fail
30  0    4   0.20 |  6348    -1421  0.52    -835.9 |  5150  -2957.1 |   4426  -2655.6 |     -860     -560 |    -3283 | fail
30  0    4   0.50 |  6348    -1557  0.50    -835.9 |  5413  -3103.8 |   4426  -2655.6 |     -926     -631 |    -3399 | fail
30  0    4   0.75 |  6348    -1542  0.52    -835.9 |  5714  -3245.8 |   4426  -2655.6 |     -917     -625 |    -3333 | fail
30  0    4   0.90 |  6348    -1456  0.56    -835.9 |  5778  -3286.0 |   4426  -2655.6 |     -881     -574 |    -3299 | fail
30  0    8   0.20 |  5129    -1025  0.57    -835.9 |  4114  -2356.6 |   3574  -2144.4 |     -593     -432 |    -2529 | fail
30  0    8   0.50 |  5129    -1119  0.55    -835.9 |  4338  -2470.6 |   3574  -2144.4 |     -691     -427 |    -2591 | fail
30  0    8   0.75 |  5129    -1186  0.55    -835.9 |  4632  -2627.3 |   3574  -2144.4 |     -757     -429 |    -2590 | fail
30  0    8   0.90 |  5129    -1162  0.57   -1254.2 |  4732  -2720.5 |   3574  -2144.4 |     -793     -369 |    -2576 | fail
30  0    12  0.20 |  4366    -1030  0.49    -835.9 |  3523  -2020.5 |   3043  -1825.8 |     -553     -477 |    -2299 | fail
30  0    12  0.50 |  4366    -1287  0.39    -835.9 |  3710  -2123.9 |   3043  -1825.8 |     -687     -600 |    -2519 | fail
30  0    12  0.75 |  4366    -1233  0.45    -835.9 |  3969  -2256.2 |   3043  -1825.8 |     -733     -500 |    -2491 | fail
30  0    12  0.90 |  4366    -1237  0.47    -835.9 |  4073  -2330.3 |   3043  -1825.8 |     -733     -504 |    -2509 | fail
60  0    1   0.20 |  6883    -2214  0.47    -835.9 |  5292  -4166.1 |   4092  -3682.8 |    -1126    -1088 |    -4244 | fail
60  0    1   0.50 |  6883    -2446  0.44    -835.9 |  5622  -4354.8 |   4092  -3682.8 |    -1237    -1209 |    -4430 | fail
60  0    1   0.75 |  6883    -2440  0.46    -835.9 |  5957  -4537.3 |   4092  -3682.8 |    -1242    -1198 |    -4349 | fail
60  0    1   0.90 |  6883    -2361  0.48    -835.9 |  5990  -4561.8 |   4092  -3682.8 |    -1191    -1170 |    -4306 | fail
60  0    2   0.20 |  6786    -2317  0.44    -835.9 |  5267  -4124.3 |   4003  -3602.7 |    -1275    -1043 |    -4334 | fail
60  0    2   0.50 |  6786    -2466  0.43    -835.9 |  5591  -4301.0 |   4003  -3602.7 |    -1292    -1174 |    -4431 | fail
60  0    2   0.75 |  6786    -2452  0.46    -835.9 |  5958  -4506.5 |   4003  -3602.7 |    -1277    -1176 |    -4329 | fail
60  0    2   0.90 |  6786    -2379  0.48    -835.9 |  6004  -4539.9 |   4003  -3602.7 |    -1241    -1138 |    -4288 | fail
60  0    4   0.20 |  6348    -2055  0.46    -835.9 |  4874  -3837.4 |   3694  -3324.6 |    -1142     -913 |    -3922 | fail
60  0    4   0.50 |  6348    -2257  0.44    -835.9 |  5211  -4017.4 |   3694  -3324.6 |    -1244    -1013 |    -4090 | fail
60  0    4   0.75 |  6348    -2245  0.46    -835.9 |  5575  -4189.1 |   3694  -3324.6 |    -1244    -1001 |    -4032 | fail
60  0    4   0.90 |  6348    -2140  0.50    -835.9 |  5656  -4245.4 |   3694  -3324.6 |    -1196     -944 |    -3989 | fail
60  0    8   0.20 |  5129    -1525  0.50    -835.9 |  3876  -3047.2 |   2983  -2684.7 |     -800     -725 |    -3020 | fail
60  0    8   0.50 |  5129    -1688  0.47    -835.9 |  4166  -3193.5 |   2983  -2684.7 |     -945     -743 |    -3150 | fail
60  0    8   0.75 |  5129    -1796  0.47    -835.9 |  4539  -3405.4 |   2983  -2684.7 |    -1050     -747 |    -3167 | fail
60  0    8   0.90 |  5129    -1798  0.49   -1254.2 |  4666  -3535.1 |   2983  -2684.7 |    -1106     -692 |    -3167 | fail
60  0    12  0.20 |  4366    -1485  0.43    -835.9 |  3329  -2627.1 |   2563  -2306.7 |     -773     -712 |    -2759 | fail
60  0    12  0.50 |  4366    -1773  0.36    -835.9 |  3564  -2755.9 |   2563  -2306.7 |     -937     -836 |    -3007 | fail
60  0    12  0.75 |  4366    -1723  0.41    -835.9 |  3889  -2923.5 |   2563  -2306.7 |    -1002     -721 |    -2981 | fail
60  0    12  0.90 |  4366    -1735  0.43    -835.9 |  4020  -3024.0 |   2563  -2306.7 |    -1017     -718 |    -3002 | fail
