E0-EXACT CLOSE-CONFIRM BECASC CERT — coin=XRP early=1 bars=48569 thr=1.00% confirm=60bp RT=30/60bp legs=8 (le=OWN FILL, honest by construction)
lc  inc  W   g    |     n     net%    PF  worst_bp |  nNeg  sumNeg% | nPREBE   prebe% |      H1%      H2% |   2xnet% | GATE(base;2x; omit22)
30  0    1   0.20 |  6302    -1398  0.54    -600.1 |  5224  -3048.4 |   4663  -2797.8 |     -648     -750 |    -3212 | fail
30  0    1   0.50 |  6302    -1629  0.49    -600.1 |  5491  -3208.0 |   4663  -2797.8 |     -838     -791 |    -3434 | fail
30  0    1   0.75 |  6302    -1600  0.53    -831.3 |  5765  -3391.9 |   4663  -2797.8 |     -823     -777 |    -3403 | fail
30  0    1   0.90 |  6302    -1485  0.57    -831.3 |  5869  -3451.5 |   4663  -2797.8 |     -755     -730 |    -3320 | fail
30  0    2   0.20 |  7572    -1654  0.54    -465.0 |  6265  -3600.4 |   5511  -3306.6 |     -702     -951 |    -3852 | fail
30  0    2   0.50 |  7572    -1884  0.50    -465.0 |  6560  -3771.0 |   5511  -3306.6 |     -794    -1090 |    -4142 | fail
30  0    2   0.75 |  7572    -1777  0.55    -604.9 |  6884  -3986.3 |   5511  -3306.6 |     -795     -982 |    -4015 | fail
30  0    2   0.90 |  7572    -1685  0.58    -604.9 |  7003  -4057.4 |   5511  -3306.6 |     -742     -943 |    -3945 | fail
30  0    4   0.20 |  7662    -1819  0.50    -496.4 |  6348  -3616.2 |   5512  -3307.2 |     -829     -991 |    -4020 | fail
30  0    4   0.50 |  7662    -2385  0.38    -810.9 |  6700  -3834.0 |   5512  -3307.2 |    -1147    -1238 |    -4583 | fail
30  0    4   0.75 |  7662    -2356  0.42    -831.3 |  7061  -4078.5 |   5512  -3307.2 |    -1155    -1201 |    -4502 | fail
30  0    4   0.90 |  7662    -2269  0.46    -831.3 |  7208  -4191.9 |   5512  -3307.2 |    -1110    -1159 |    -4387 | fail
30  0    8   0.20 |  6306    -1425  0.52    -496.4 |  5209  -2968.0 |   4523  -2713.8 |     -627     -798 |    -3248 | fail
30  0    8   0.50 |  6306    -1772  0.43    -810.9 |  5485  -3121.5 |   4523  -2713.8 |     -897     -875 |    -3571 | fail
30  0    8   0.75 |  6306    -1641  0.51    -831.3 |  5810  -3341.5 |   4523  -2713.8 |     -747     -895 |    -3374 | fail
30  0    8   0.90 |  6306    -1518  0.56    -831.3 |  5961  -3457.8 |   4523  -2713.8 |     -639     -879 |    -3251 | fail
30  0    12  0.20 |  5246    -1118  0.55    -496.4 |  4341  -2466.3 |   3767  -2260.2 |     -480     -638 |    -2631 | fail
30  0    12  0.50 |  5246    -1404  0.46    -770.7 |  4569  -2587.8 |   3767  -2260.2 |     -641     -763 |    -2892 | fail
30  0    12  0.75 |  5246    -1132  0.59    -770.7 |  4836  -2753.8 |   3767  -2260.2 |     -543     -589 |    -2589 | fail
30  0    12  0.90 |  5246     -929  0.67    -935.6 |  4971  -2857.1 |   3767  -2260.2 |     -392     -537 |    -2494 | fail
60  0    1   0.20 |  6302    -2057  0.49   -1537.4 |  4944  -4032.1 |   4038  -3634.2 |    -1055    -1002 |    -3866 | fail
60  0    1   0.50 |  6302    -2394  0.44   -1537.4 |  5284  -4248.8 |   4038  -3634.2 |    -1312    -1082 |    -4172 | fail
60  0    1   0.75 |  6302    -2358  0.47   -1537.4 |  5636  -4483.3 |   4038  -3634.2 |    -1287    -1072 |    -4112 | fail
60  0    1   0.90 |  6302    -2230  0.51   -1537.4 |  5772  -4562.5 |   4038  -3634.2 |    -1210    -1020 |    -3996 | fail
60  0    2   0.20 |  7572    -2403  0.49   -1537.4 |  5923  -4742.7 |   4729  -4256.1 |    -1100    -1303 |    -4642 | fail
60  0    2   0.50 |  7572    -2726  0.45   -1537.4 |  6293  -4963.7 |   4729  -4256.1 |    -1252    -1474 |    -5018 | fail
60  0    2   0.75 |  7572    -2595  0.50   -1537.4 |  6715  -5235.4 |   4729  -4256.1 |    -1230    -1365 |    -4830 | fail
60  0    2   0.90 |  7572    -2498  0.53   -1537.4 |  6864  -5331.7 |   4729  -4256.1 |    -1169    -1329 |    -4736 | fail
60  0    4   0.20 |  7662    -2551  0.46   -1537.4 |  6004  -4720.5 |   4661  -4194.9 |    -1194    -1357 |    -4781 | fail
60  0    4   0.50 |  7662    -3148  0.37   -1537.4 |  6461  -4999.5 |   4661  -4194.9 |    -1560    -1588 |    -5409 | fail
60  0    4   0.75 |  7662    -3110  0.41   -1537.4 |  6916  -5294.6 |   4661  -4194.9 |    -1571    -1539 |    -5309 | fail
60  0    4   0.90 |  7662    -2960  0.45   -1537.4 |  7089  -5429.4 |   4661  -4194.9 |    -1515    -1445 |    -5123 | fail
60  0    8   0.20 |  6306    -1960  0.49    -496.4 |  4892  -3816.4 |   3799  -3419.1 |     -881    -1079 |    -3821 | fail
60  0    8   0.50 |  6306    -2372  0.41    -810.9 |  5252  -4014.5 |   3799  -3419.1 |    -1238    -1134 |    -4194 | fail
60  0    8   0.75 |  6306    -2208  0.48    -831.3 |  5675  -4285.8 |   3799  -3419.1 |    -1048    -1161 |    -3973 | fail
60  0    8   0.90 |  6306    -1993  0.55    -831.3 |  5860  -4422.7 |   3799  -3419.1 |     -860    -1132 |    -3748 | fail
60  0    12  0.20 |  5246    -1561  0.51   -1537.4 |  4077  -3188.1 |   3169  -2852.1 |     -702     -858 |    -3099 | fail
60  0    12  0.50 |  5246    -1869  0.44   -1537.4 |  4372  -3340.2 |   3169  -2852.1 |     -887     -981 |    -3377 | fail
60  0    12  0.75 |  5246    -1468  0.59   -1537.4 |  4713  -3538.7 |   3169  -2852.1 |     -663     -805 |    -2886 | fail
60  0    12  0.90 |  5246    -1235  0.67   -1537.4 |  4891  -3700.4 |   3169  -2852.1 |     -466     -769 |    -2718 | fail
