HONEST-ENTRY-BASIS CERT — coin=AAVE early=1 bars=48569 thr=0.50% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    | 15297       -9  1.00   -1550.0 |  9864 -10767.4 |     +259     -268 |  -1550.0    -4083 | fail
1   0.50 8    | 15297    +3445  1.29   -1550.0 | 10090 -11694.7 |    +2170    +1275 |  -1550.0     -734 | fail
1   0.75 8    | 15297    +5132  1.42   -1550.0 |  9400 -12108.5 |    +3194    +1938 |  -1550.0     +414 | fail
2   0.20 8    | 14832    +1540  1.16   -1671.5 |  9223  -9897.2 |    +1109     +431 |  -1671.5    -2595 | fail
2   0.50 8    | 14832    +4647  1.43   -1671.5 |  9577 -10843.7 |    +2601    +2046 |  -1671.5     +391 | fail
2   0.75 8    | 14832    +5951  1.51   -1671.5 |  9035 -11601.8 |    +3357    +2594 |  -1671.5    +1481 | fail
4   0.20 8    | 13367    +2498  1.29   -2252.2 |  7991  -8553.2 |    +1860     +638 |  -2252.2    -1279 | fail
4   0.50 8    | 13367    +4624  1.48   -2252.2 |  8567  -9641.3 |    +3036    +1588 |  -2252.2     +776 | fail
4   0.75 8    | 13367    +6104  1.57   -2252.2 |  8409 -10754.1 |    +3844    +2259 |  -2252.2    +1983 | fail
12  0.20 8    |  8367    +1115  1.21   -1190.2 |  5031  -5382.7 |     +981     +134 |  -1190.2    -1354 | fail
12  0.50 8    |  8367    +2252  1.36   -1190.2 |  5596  -6236.8 |    +1349     +903 |  -1190.2     -307 | fail
12  0.75 8    |  8367    +3208  1.42   -1190.2 |  6126  -7618.6 |    +1789    +1418 |  -1190.2     +438 | fail
