HONEST-ENTRY-BASIS CERT — coin=ADA early=1 bars=48569 thr=0.50% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    | 13529     -805  0.91    -951.1 |  8987  -8966.9 |     -593     -212 |   -951.1    -4603 | fail
1   0.50 8    | 13529    +1905  1.19    -951.1 |  9207  -9909.3 |     +842    +1063 |   -951.1    -2098 | fail
1   0.75 8    | 13529    +3347  1.33    -951.1 |  8542 -10236.7 |    +1595    +1752 |   -951.1    -1007 | fail
2   0.20 8    | 13409     +347  1.04   -1021.6 |  8595  -8244.4 |     +228     +120 |  -1021.6    -3408 | fail
2   0.50 8    | 13409    +2919  1.31   -1021.6 |  8980  -9278.6 |    +1377    +1542 |  -1021.6    -1022 | fail
2   0.75 8    | 13409    +4313  1.44   -1021.6 |  8442  -9808.7 |    +2188    +2126 |  -1021.6      +27 | fail
4   0.20 8    | 12248    +1076  1.15   -1600.6 |  7740  -7415.2 |     +451     +626 |  -1600.6    -2276 | fail
4   0.50 8    | 12248    +3462  1.41   -1600.6 |  8245  -8501.6 |    +1501    +1962 |  -1600.6     -186 | fail
4   0.75 8    | 12248    +4641  1.49   -1600.6 |  7960  -9527.2 |    +2269    +2372 |  -1600.6     +961 | fail
12  0.20 8    |  7717    +1490  1.33    -909.1 |  4784  -4484.8 |     +783     +707 |   -909.1     -759 | fail
12  0.50 8    |  7709    +2207  1.42    -909.1 |  5316  -5242.4 |    +1197    +1010 |   -909.1     -153 | fail
12  0.75 8    |  7709    +3485  1.53    -909.1 |  5685  -6556.7 |    +2185    +1300 |   -909.1     +959 | fail
