HONEST-ENTRY-BASIS CERT — coin=APT early=1 bars=31062 thr=2.00% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  2294     +407  1.23   -1248.4 |  1386  -1776.4 |     +445      -38 |  -1248.4     -301 | fail
1   0.50 8    |  2294     +707  1.35   -1248.4 |  1532  -2047.6 |     +730      -22 |  -1248.4      +37 | fail
1   0.75 8    |  2294     +541  1.21   -1248.4 |  1788  -2605.9 |     +690     -149 |  -1248.4      +43 | fail
2   0.20 8    |  3497       +9  1.00   -1140.1 |  2149  -2619.5 |     +190     -180 |  -1140.1    -1004 | fail
2   0.50 8    |  3497     +608  1.21   -1140.1 |  2339  -2940.1 |     +764     -156 |  -1140.1     -392 | fail
2   0.75 8    |  3497     +686  1.18   -1140.1 |  2687  -3771.3 |     +778      -92 |  -1140.1     -201 | fail
4   0.20 8    |  4052     +562  1.19   -1017.8 |  2493  -2903.1 |     +603      -41 |  -1017.8     -639 | fail
4   0.50 8    |  4052     +795  1.24   -1017.8 |  2704  -3315.4 |     +748      +47 |  -1017.8     -362 | fail
4   0.75 8    |  4052     +616  1.15   -1017.8 |  3115  -4039.2 |     +706      -90 |  -1017.8     -565 | fail
8   0.20 8    |  3813      -48  0.98   -1012.9 |  2434  -2758.6 |     +364     -412 |  -1012.9    -1117 | fail
8   0.50 8    |  3813     +433  1.14   -1012.9 |  2677  -3088.6 |     +776     -343 |  -1012.9     -674 | fail
8   0.75 8    |  3813     +506  1.13   -1425.8 |  3028  -3872.9 |     +749     -244 |  -1425.8     -673 | fail
12  0.20 8    |  3411     +176  1.07   -1117.5 |  2196  -2459.0 |     +361     -185 |  -1117.5     -600 | fail
12  0.50 8    |  3411     +784  1.29   -1117.5 |  2339  -2721.9 |    +1046     -262 |  -1117.5      +68 | fail
12  0.75 8    |  3411     +768  1.23   -1117.5 |  2657  -3392.0 |    +1037     -269 |  -1117.5     -195 | fail
