HONEST-ENTRY-BASIS CERT — coin=ATOM early=0 bars=31062 thr=1.00% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  4107    +2373  2.86    -438.8 |  1956  -1278.3 |    +1103    +1270 |   -438.8    +1122 | PASS
1   0.50 8    |  4107    +2062  2.05    -502.4 |  2552  -1957.2 |     +780    +1282 |   -502.4     +909 | PASS
1   0.75 8    |  4107    +1767  1.62    -534.5 |  2807  -2858.1 |     +579    +1188 |   -534.5     +800 | fail
2   0.20 8    |  4951    +2336  2.52    -796.8 |  2378  -1535.6 |    +1181    +1156 |   -796.8     +851 | PASS
2   0.50 8    |  4951    +2071  1.87    -796.8 |  3134  -2390.4 |     +880    +1191 |   -796.8     +727 | fail
2   0.75 8    |  4951    +1925  1.56    -796.8 |  3386  -3454.6 |     +904    +1022 |   -796.8     +751 | fail
4   0.20 8    |  5037    +2255  2.46    -796.8 |  2566  -1547.5 |     +953    +1302 |   -796.8     +756 | PASS
4   0.50 8    |  5037    +1661  1.69    -796.8 |  3254  -2423.1 |     +571    +1090 |   -796.8     +285 | fail
4   0.75 8    |  5037    +1859  1.54    -796.8 |  3447  -3415.5 |     +642    +1217 |   -796.8     +507 | fail
12  0.20 8    |  3526    +1749  2.73   -1069.0 |  1712  -1012.3 |     +701    +1048 |  -1069.0     +695 | PASS
12  0.50 8    |  3526    +1019  1.63   -1625.7 |  2196  -1611.4 |     +351     +668 |  -1625.7      +29 | fail
12  0.75 8    |  3526    +1068  1.43   -1625.7 |  2541  -2461.1 |     +240     +828 |  -1625.7     +158 | fail
