HONEST-ENTRY-BASIS CERT — coin=AVAX early=1 bars=48569 thr=1.00% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    | 10654     +828  1.10   -1749.2 |  6409  -7981.5 |     +741      +87 |  -1749.2    -2094 | fail
1   0.50 8    | 10654    +2910  1.33   -1749.2 |  6963  -8921.0 |    +1955     +956 |  -1749.2      +25 | fail
1   0.75 8    | 10649    +3792  1.38   -1749.2 |  7030 -10061.1 |    +2533    +1259 |  -1749.2     +858 | fail
2   0.20 8    | 11415    +1731  1.21   -1749.2 |  6819  -8214.4 |    +1418     +313 |  -1749.2    -1507 | fail
2   0.50 8    | 11415    +3707  1.40   -1749.2 |  7455  -9248.5 |    +2507    +1199 |  -1749.2     +346 | fail
2   0.75 8    | 11410    +5286  1.50   -1749.2 |  7599 -10494.6 |    +3377    +1909 |  -1749.2    +1711 | fail
4   0.20 8    | 10890    +2192  1.29   -2949.3 |  6462  -7550.1 |    +1593     +599 |  -2949.3     -939 | fail
4   0.50 8    | 10890    +4120  1.47   -2949.3 |  7161  -8722.8 |    +2773    +1347 |  -2949.3     +989 | fail
4   0.75 8    | 10885    +5289  1.52   -2949.3 |  7416 -10146.6 |    +3637    +1652 |  -2949.3    +2178 | fail
12  0.20 8    |  7006    +1404  1.30   -1071.8 |  4180  -4755.0 |     +921     +482 |  -1071.8     -570 | fail
12  0.50 8    |  7006    +2733  1.50   -1071.8 |  4550  -5451.0 |    +1617    +1115 |  -1071.8     +792 | fail
12  0.75 8    |  7006    +3830  1.57   -1071.8 |  5035  -6759.8 |    +2350    +1480 |  -1071.8    +1706 | fail
