HONEST-ENTRY-BASIS CERT — coin=BCH early=0 bars=48569 thr=1.00% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  6722    +5357  3.43    -587.0 |  3134  -2200.7 |    +2775    +2582 |   -587.0    +3353 | PASS
1   0.50 8    |  6722    +5139  2.52    -683.3 |  3999  -3383.7 |    +2729    +2410 |   -683.3    +3293 | PASS
1   0.75 8    |  6722    +5193  2.10    -905.1 |  4469  -4731.2 |    +2842    +2351 |   -905.1    +3397 | PASS
2   0.20 8    |  7817    +5857  3.24    -804.9 |  3671  -2612.4 |    +3026    +2831 |   -804.9    +3523 | PASS
2   0.50 8    |  7817    +5591  2.38    -804.9 |  4715  -4053.5 |    +2955    +2637 |   -804.9    +3413 | PASS
2   0.75 8    |  7817    +5783  2.05   -1467.0 |  5048  -5525.5 |    +3292    +2491 |  -1467.0    +3850 | PASS
4   0.20 8    |  7888    +6005  3.40    -651.2 |  3720  -2503.4 |    +2958    +3046 |   -651.2    +3642 | PASS
4   0.50 8    |  7888    +5363  2.34    -651.2 |  4846  -3990.3 |    +2791    +2573 |   -651.2    +3216 | PASS
4   0.75 8    |  7888    +5726  2.03   -1467.0 |  5161  -5553.1 |    +3146    +2580 |  -1467.0    +3803 | PASS
12  0.20 8    |  5731    +4216  3.35    -804.9 |  2832  -1797.3 |    +2003    +2213 |   -804.9    +2501 | PASS
12  0.50 8    |  5731    +4298  2.53    -804.9 |  3558  -2809.0 |    +2144    +2153 |   -804.9    +2691 | PASS
12  0.75 8    |  5731    +3794  1.90   -1467.0 |  4132  -4234.4 |    +1900    +1894 |  -1467.0    +2291 | PASS
