HONEST-ENTRY-BASIS CERT — coin=BNB early=0 bars=48569 thr=1.00% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  5184    +3335  2.82    -665.1 |  2540  -1830.6 |    +2472     +862 |   -665.1    +1794 | PASS
1   0.50 8    |  5184    +2843  2.07    -903.1 |  3158  -2664.0 |    +2272     +571 |   -903.1    +1351 | PASS
1   0.75 8    |  5184    +3326  1.95    -903.1 |  3390  -3510.4 |    +2406     +920 |   -903.1    +1860 | PASS
2   0.20 8    |  6443    +4151  3.02   -1011.1 |  3138  -2054.8 |    +2888    +1264 |  -1011.1    +2236 | PASS
2   0.50 8    |  6443    +3851  2.30   -1011.1 |  3844  -2965.3 |    +2921     +930 |  -1011.1    +1985 | PASS
2   0.75 8    |  6443    +3884  1.92   -1011.1 |  4243  -4233.6 |    +2993     +892 |  -1011.1    +2298 | PASS
4   0.20 8    |  6555    +3789  2.91   -1281.0 |  3221  -1986.8 |    +2755    +1034 |  -1281.0    +1834 | PASS
4   0.50 8    |  6555    +3658  2.21   -1281.0 |  4089  -3027.8 |    +2946     +713 |  -1281.0    +1804 | PASS
4   0.75 8    |  6555    +4307  2.04   -1281.0 |  4369  -4142.7 |    +3626     +681 |  -1281.0    +2450 | PASS
12  0.20 8    |  5108    +2686  2.81   -1174.1 |  2517  -1483.1 |    +1888     +799 |  -1174.1    +1172 | PASS
12  0.50 8    |  5108    +3389  2.48   -1174.1 |  3235  -2282.2 |    +2874     +515 |  -1174.1    +1980 | PASS
12  0.75 8    |  5108    +3805  2.14   -1174.1 |  3630  -3331.6 |    +3233     +572 |  -1174.1    +2495 | PASS
