HONEST-ENTRY-BASIS CERT — coin=BTC early=1 bars=48567 thr=1.00% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  4373     -120  0.95    -881.4 |  2761  -2342.3 |      +50     -170 |   -881.4    -1413 | fail
1   0.50 8    |  4373     -109  0.96    -881.4 |  3135  -2897.0 |      +98     -207 |   -881.4    -1407 | fail
1   0.75 8    |  4373     -114  0.97    -881.4 |  3294  -3547.0 |     +164     -278 |   -881.4    -1395 | fail
2   0.20 8    |  5437      +87  1.03   -1129.6 |  3465  -2756.4 |      +45      +42 |  -1129.6    -1440 | fail
2   0.50 8    |  5437       +4  1.00   -1129.6 |  3914  -3364.1 |      +34      -30 |  -1129.6    -1574 | fail
2   0.75 8    |  5437     +497  1.12   -1129.6 |  3890  -4121.7 |     +220     +277 |  -1129.6    -1133 | fail
4   0.20 8    |  5834      -38  0.99   -1129.6 |  3686  -2939.2 |      -83      +45 |  -1129.6    -1781 | fail
4   0.50 8    |  5834     +371  1.10   -1129.6 |  4155  -3610.8 |     +148     +224 |  -1129.6    -1382 | fail
4   0.75 8    |  5834     +493  1.11   -1129.6 |  4193  -4351.2 |      +97     +395 |  -1129.6    -1147 | fail
12  0.20 8    |  4694      -73  0.97    -747.2 |  3010  -2227.1 |     +164     -237 |   -747.2    -1448 | fail
12  0.50 8    |  4694     +209  1.08    -747.2 |  3363  -2784.2 |     +262      -53 |   -747.2    -1231 | fail
12  0.75 8    |  4694     +869  1.25    -747.2 |  3424  -3484.8 |     +665     +203 |   -747.2     -552 | fail
