HONEST-ENTRY-BASIS CERT — coin=COMP early=1 bars=31062 thr=0.50% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  8878    -1069  0.81   -1961.1 |  5918  -5716.6 |     -552     -517 |  -1961.1    -3568 | fail
1   0.50 8    |  8878     +661  1.10   -1961.1 |  6057  -6346.9 |     +228     +433 |  -1961.1    -2040 | fail
1   0.75 8    |  8878    +1569  1.24   -1961.1 |  5562  -6529.2 |     +584     +985 |  -1961.1    -1341 | fail
2   0.20 8    |  8617       -5  1.00   -1961.1 |  5549  -5161.6 |      +80      -85 |  -1961.1    -2512 | fail
2   0.50 8    |  8617    +1610  1.28   -1961.1 |  5793  -5792.4 |     +832     +777 |  -1961.1    -1058 | fail
2   0.75 8    |  8617    +2648  1.43   -1961.1 |  5413  -6118.1 |    +1305    +1343 |  -1961.1     -378 | fail
4   0.20 8    |  7923     +527  1.11   -1961.1 |  4998  -4632.9 |     +301     +227 |  -1961.1    -1741 | fail
4   0.50 8    |  7923    +1653  1.31   -1961.1 |  5338  -5307.9 |     +614    +1039 |  -1961.1     -818 | fail
4   0.75 8    |  7923    +2370  1.40   -1961.1 |  5182  -5957.0 |     +886    +1484 |  -1961.1     -311 | fail
12  0.20 8    |  5155     +434  1.15    -829.3 |  3225  -2962.5 |     +154     +280 |   -829.3    -1036 | fail
12  0.50 8    |  5155     +736  1.21    -829.3 |  3535  -3500.8 |     +125     +611 |   -829.3     -883 | fail
12  0.75 8    |  5155     +872  1.20    -829.3 |  3912  -4400.3 |     +208     +665 |   -829.3     -662 | fail
