HONEST-ENTRY-BASIS CERT — coin=CRV early=1 bars=31062 thr=2.00% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  2597     +581  1.28   -1279.2 |  1547  -2067.4 |     +385     +196 |  -1279.2     -121 | fail
1   0.50 8    |  2597     +909  1.41   -1279.2 |  1653  -2218.6 |     +574     +335 |  -1279.2     +194 | fail
1   0.75 8    |  2597     +694  1.25   -1279.2 |  1900  -2765.9 |     +466     +228 |  -1279.2      -33 | fail
2   0.20 8    |  3723     +710  1.25   -1159.7 |  2214  -2803.9 |     +428     +282 |  -1159.7     -299 | fail
2   0.50 8    |  3723    +1099  1.35   -1159.7 |  2378  -3105.8 |     +749     +350 |  -1159.7      +96 | fail
2   0.75 8    |  3723    +1205  1.32   -1159.7 |  2752  -3822.1 |     +837     +368 |  -1159.7     +272 | fail
4   0.20 8    |  4359    +1075  1.35   -1014.3 |  2572  -3107.9 |     +725     +350 |  -1014.3     -129 | fail
4   0.50 8    |  4359    +1493  1.43   -1014.3 |  2830  -3465.2 |     +963     +531 |  -1014.3     +242 | fail
4   0.75 8    |  4359    +1763  1.42   -1014.3 |  3213  -4229.4 |    +1303     +460 |  -1014.3     +503 | fail
8   0.20 8    |  4008     +404  1.14   -1219.5 |  2430  -2836.2 |     +231     +173 |  -1219.5     -664 | fail
8   0.50 8    |  4008     +365  1.12   -1219.5 |  2674  -3149.3 |      +21     +344 |  -1219.5     -864 | fail
8   0.75 8    |  4008     +762  1.19   -1219.5 |  3064  -4029.4 |     +271     +491 |  -1219.5     -547 | fail
12  0.20 8    |  3617     +393  1.16   -1065.3 |  2167  -2472.6 |     +177     +216 |  -1065.3     -639 | fail
12  0.50 8    |  3617     -123  0.96   -1065.3 |  2407  -2780.0 |     -284     +161 |  -1065.3    -1166 | fail
12  0.75 8    |  3617     -473  0.87   -1065.3 |  2821  -3521.0 |     -406      -67 |  -1065.3    -1483 | fail
