HONEST-ENTRY-BASIS CERT — coin=DOGE early=1 bars=48569 thr=1.50% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  5752     +920  1.18   -2393.9 |  3688  -5097.4 |    +1004      -83 |  -2393.9     -614 | fail
1   0.50 8    |  5752    +2796  1.50   -2393.9 |  4012  -5637.0 |    +2452     +344 |  -2393.9    +1329 | fail
1   0.75 8    |  5752    +4578  1.72   -2393.9 |  4267  -6393.3 |    +3832     +745 |  -2393.9    +2950 | PASS
2   0.20 8    |  7232     +365  1.06   -1853.9 |  4624  -5863.5 |     +438      -72 |  -1853.9    -1683 | fail
2   0.50 8    |  7232    +2307  1.35   -1853.9 |  5047  -6555.0 |    +1763     +544 |  -1853.9     +351 | fail
2   0.75 8    |  7232    +4069  1.53   -1853.9 |  5338  -7608.1 |    +3270     +799 |  -1853.9    +2029 | fail
4   0.20 8    |  7584    +1200  1.21   -1855.8 |  4707  -5614.7 |    +1298      -98 |  -1855.8     -994 | fail
4   0.50 8    |  7584    +3403  1.54   -1855.8 |  5257  -6333.3 |    +3056     +347 |  -1855.8    +1449 | fail
4   0.75 8    |  7584    +6563  1.89   -1855.8 |  5622  -7373.4 |    +5652     +911 |  -1855.8    +4232 | PASS
8   0.20 8    |  6660    +1005  1.21   -1658.5 |  4179  -4705.6 |     +856     +149 |  -1658.5     -986 | fail
8   0.50 8    |  6660    +6066  2.15   -1658.5 |  4576  -5287.4 |    +5015    +1051 |  -1658.5    +4015 | PASS
8   0.75 8    |  6660    +7638  2.19   -1658.5 |  5091  -6426.4 |    +6286    +1351 |  -1658.5    +5513 | PASS
12  0.20 8    |  5685     +706  1.17   -1855.8 |  3707  -4078.4 |     +833     -127 |  -1855.8     -903 | fail
12  0.50 8    |  5685    +5382  2.15   -1855.8 |  4084  -4670.3 |    +5207     +174 |  -1855.8    +3649 | PASS
12  0.75 8    |  5685    +7963  2.42   -1855.8 |  4467  -5599.6 |    +7471     +492 |  -1855.8    +6058 | PASS
