HONEST-ENTRY-BASIS CERT — coin=DOT early=1 bars=31062 thr=0.50% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  7971     -420  0.91   -1032.6 |  5213  -4581.5 |     -191     -229 |  -1032.6    -2639 | fail
1   0.50 8    |  7971     +910  1.18   -1032.6 |  5350  -5129.7 |     +400     +510 |  -1032.6    -1451 | fail
1   0.75 8    |  7971    +1613  1.30   -1032.6 |  4874  -5370.1 |     +607    +1006 |  -1032.6    -1041 | fail
2   0.20 8    |  8019      +80  1.02   -1016.3 |  5149  -4424.3 |       +1      +79 |  -1016.3    -2264 | fail
2   0.50 8    |  8019    +1327  1.26   -1016.3 |  5336  -5015.7 |     +491     +836 |  -1016.3    -1120 | fail
2   0.75 8    |  8019    +2114  1.40   -1016.3 |  4902  -5323.1 |     +806    +1309 |  -1016.3     -667 | fail
4   0.20 8    |  7308     +249  1.06    -769.1 |  4577  -3906.7 |      -11     +260 |   -769.1    -1841 | fail
4   0.50 8    |  7308    +1316  1.29    -769.1 |  4907  -4537.5 |     +441     +876 |   -769.1     -823 | fail
4   0.75 8    |  7308    +2018  1.40    -769.1 |  4655  -5036.8 |     +722    +1296 |   -769.1     -225 | fail
12  0.20 8    |  4763     -121  0.96    -892.3 |  3102  -2758.1 |     -289     +168 |   -892.3    -1510 | fail
12  0.50 8    |  4763     -113  0.96    -892.3 |  3365  -3218.4 |     -373     +260 |   -892.3    -1504 | fail
12  0.75 8    |  4763      -94  0.98   -1094.1 |  3581  -4033.7 |     -366     +271 |  -1094.1    -1484 | fail
