HONEST-ENTRY-BASIS CERT — coin=ETC early=1 bars=31062 thr=2.00% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  1203     +241  1.25   -1265.6 |   718   -968.0 |      -79     +320 |  -1265.6      -67 | fail
1   0.50 8    |  1203     +202  1.19   -1265.6 |   787  -1090.2 |     -186     +388 |  -1265.6     -148 | fail
1   0.75 8    |  1203      -55  0.96   -1265.6 |   884  -1313.0 |     -282     +227 |  -1265.6     -319 | fail
2   0.20 8    |  1872      +20  1.02    -801.2 |  1188  -1302.8 |     -138     +158 |   -801.2     -524 | fail
2   0.50 8    |  1872      +11  1.01    -801.2 |  1296  -1476.8 |     -124     +136 |   -801.2     -550 | fail
2   0.75 8    |  1872      +32  1.02    -801.2 |  1503  -1825.7 |      -44      +76 |   -801.2     -533 | fail
4   0.20 8    |  2584      -57  0.97    -755.7 |  1710  -1651.3 |      -91      +35 |   -755.7     -762 | fail
4   0.50 8    |  2584      -42  0.98    -755.7 |  1834  -1868.9 |     -153     +112 |   -755.7     -766 | fail
4   0.75 8    |  2584      +68  1.03    -755.7 |  2005  -2282.7 |     -161     +229 |   -755.7     -665 | fail
8   0.20 8    |  2759     +323  1.19    -855.6 |  1799  -1659.9 |     +119     +204 |   -855.6     -463 | fail
8   0.50 8    |  2759     +270  1.14    -855.6 |  2012  -1927.8 |      -40     +310 |   -855.6     -499 | fail
8   0.75 8    |  2759     +388  1.16    -855.6 |  2249  -2393.3 |      -11     +399 |   -855.6     -413 | fail
12  0.20 8    |  2635      +15  1.01    -856.8 |  1859  -1606.6 |      +65      -49 |   -856.8     -690 | fail
12  0.50 8    |  2635     -224  0.88    -856.8 |  1999  -1873.3 |     -226       +2 |   -856.8     -941 | fail
12  0.75 8    |  2635      +69  1.03    -856.8 |  2183  -2328.9 |     -165     +234 |   -856.8     -641 | fail
