HONEST-ENTRY-BASIS CERT — coin=ETH early=1 bars=48568 thr=1.50% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  3669     +160  1.07   -1130.4 |  2114  -2329.5 |     +179      -19 |  -1130.4     -952 | fail
1   0.50 8    |  3669     +398  1.15   -1130.4 |  2444  -2712.9 |     +283     +115 |  -1130.4     -800 | fail
1   0.75 8    |  3669     +536  1.16   -1130.4 |  2718  -3399.8 |     +258     +278 |  -1130.4     -639 | fail
2   0.20 8    |  5064      -72  0.98   -1130.4 |  3034  -3090.7 |     +120     -192 |  -1130.4    -1558 | fail
2   0.50 8    |  5064     +102  1.03   -1130.4 |  3430  -3655.0 |     +334     -232 |  -1130.4    -1475 | fail
2   0.75 8    |  5064     +303  1.07   -1130.4 |  3729  -4513.6 |     +603     -300 |  -1130.4    -1283 | fail
4   0.20 8    |  5680     +475  1.15   -1155.2 |  3336  -3131.2 |     +106     +369 |  -1155.2    -1058 | fail
4   0.50 8    |  5680     +833  1.22   -1155.2 |  3851  -3791.0 |     +569     +264 |  -1155.2     -849 | fail
4   0.75 8    |  5680    +1146  1.24   -1155.2 |  4198  -4735.2 |     +773     +373 |  -1155.2     -605 | fail
8   0.20 8    |  5237     +818  1.31   -1141.4 |  3017  -2646.1 |     +456     +361 |  -1141.4     -710 | fail
8   0.50 8    |  5237     +898  1.27   -1141.4 |  3472  -3305.9 |     +650     +248 |  -1141.4     -782 | fail
8   0.75 8    |  5237    +1859  1.43   -1141.4 |  3807  -4273.4 |    +1368     +490 |  -1141.4      -81 | fail
12  0.20 8    |  4623     +125  1.05   -1155.1 |  2867  -2512.9 |     +160      -35 |  -1155.1    -1103 | fail
12  0.50 8    |  4623     +748  1.24   -1155.1 |  3197  -3052.9 |     +565     +183 |  -1155.1     -755 | fail
12  0.75 8    |  4623    +1011  1.26   -1155.1 |  3529  -3875.8 |     +795     +216 |  -1155.1     -596 | fail
