HONEST-ENTRY-BASIS CERT — coin=GRT early=1 bars=48569 thr=0.50% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    | 15397     -525  0.95   -1557.6 |  9815 -11349.4 |     -344     -181 |  -1557.6    -4850 | fail
1   0.50 8    | 15397    +3416  1.28   -1557.6 | 10041 -12217.6 |    +1931    +1485 |  -1557.6    -1134 | fail
1   0.75 8    | 15397    +5084  1.41   -1557.6 |  9293 -12492.2 |    +2821    +2263 |  -1557.6     +291 | fail
2   0.20 8    | 14949    +1549  1.15   -1188.7 |  9244 -10259.4 |     +870     +679 |  -1188.7    -2669 | fail
2   0.50 8    | 14949    +4835  1.43   -1188.7 |  9697 -11353.0 |    +2511    +2324 |  -1188.7     +533 | fail
2   0.75 8    | 14949    +6339  1.52   -1188.7 |  9229 -12206.3 |    +3302    +3037 |  -1188.7    +1833 | fail
4   0.20 8    | 13301    +1858  1.21   -2314.3 |  8004  -8813.3 |     +828    +1030 |  -2314.3    -2072 | fail
4   0.50 8    | 13301    +4120  1.41   -2314.3 |  8644  -9984.4 |    +2043    +2077 |  -2314.3      +81 | fail
4   0.75 8    | 13301    +5620  1.49   -2314.3 |  8620 -11385.0 |    +3136    +2485 |  -2314.3    +1491 | fail
12  0.20 8    |  8518     +947  1.17   -1109.2 |  5174  -5724.6 |     +509     +438 |  -1109.2    -1519 | fail
12  0.50 8    |  8518    +1601  1.24   -1109.2 |  5795  -6616.1 |     +760     +842 |  -1109.2     -845 | fail
12  0.75 8    |  8518    +1428  1.17   -1109.2 |  6489  -8230.3 |     +513     +915 |  -1109.2     -934 | fail
