HONEST-ENTRY-BASIS CERT — coin=ICP early=0 bars=31062 thr=1.00% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  5145    +3761  3.06    -867.2 |  2282  -1824.9 |    +1905    +1857 |   -867.2    +2228 | PASS
1   0.50 8    |  5145    +3115  2.17    -867.2 |  2965  -2651.9 |    +1330    +1786 |   -867.2    +1669 | PASS
1   0.75 8    |  5145    +3498  1.97    -867.2 |  3338  -3623.8 |    +1614    +1884 |   -867.2    +2173 | PASS
2   0.20 8    |  5989    +4445  3.19    -867.2 |  2698  -2031.8 |    +1960    +2485 |   -867.2    +2661 | PASS
2   0.50 8    |  5989    +4002  2.34    -867.2 |  3474  -2976.9 |    +1521    +2482 |   -867.2    +2298 | PASS
2   0.75 8    |  5989    +4369  2.08    -867.2 |  3786  -4036.6 |    +1775    +2594 |   -867.2    +2717 | PASS
4   0.20 8    |  5735    +4210  3.18    -868.4 |  2630  -1927.6 |    +1808    +2402 |   -868.4    +2496 | PASS
4   0.50 8    |  5735    +3465  2.18    -868.4 |  3387  -2936.3 |    +1460    +2005 |   -868.4    +1834 | PASS
4   0.75 8    |  5735    +3795  1.93   -1422.9 |  3821  -4064.1 |    +1646    +2149 |  -1422.9    +2331 | PASS
12  0.20 8    |  3969    +2689  2.91    -870.6 |  1941  -1408.1 |    +1231    +1459 |   -870.6    +1510 | PASS
12  0.50 8    |  3969    +2550  2.16    -870.6 |  2475  -2196.3 |    +1361    +1189 |   -870.6    +1463 | PASS
12  0.75 8    |  3969    +2358  1.73   -1422.9 |  2989  -3232.5 |    +1173    +1184 |  -1422.9    +1308 | PASS
