HONEST-ENTRY-BASIS CERT — coin=INJ early=1 bars=31062 thr=1.50% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  4941     +633  1.17   -1395.7 |  2913  -3755.7 |     +379     +254 |  -1395.7     -692 | fail
1   0.50 8    |  4941    +1272  1.31   -1395.7 |  3146  -4127.6 |     +562     +710 |  -1395.7     -131 | fail
1   0.75 8    |  4941    +1681  1.35   -1395.7 |  3402  -4806.8 |    +1140     +541 |  -1395.7     +213 | fail
2   0.20 8    |  6057     +886  1.20   -1560.4 |  3626  -4456.0 |     +586     +300 |  -1560.4     -741 | fail
2   0.50 8    |  6057    +1923  1.39   -1560.4 |  3940  -4931.8 |    +1088     +835 |  -1560.4     +173 | fail
2   0.75 8    |  6057    +2941  1.52   -1560.4 |  4203  -5694.6 |    +1795    +1147 |  -1560.4     +992 | fail
4   0.20 8    |  6136    +1080  1.25    -981.9 |  3587  -4237.8 |     +790     +290 |   -981.9     -626 | fail
4   0.50 8    |  6136    +2122  1.45    -981.9 |  3918  -4708.2 |    +1329     +793 |   -981.9     +379 | fail
4   0.75 8    |  6136    +3091  1.55    -981.9 |  4263  -5661.1 |    +1993    +1097 |   -981.9    +1212 | fail
8   0.20 8    |  5144     +174  1.05   -1009.1 |  3108  -3643.4 |     +190      -16 |  -1009.1    -1264 | fail
8   0.50 8    |  5144     +648  1.16   -1009.1 |  3441  -4103.9 |     +145     +503 |  -1009.1     -883 | fail
8   0.75 8    |  5137    +1388  1.28   -1009.1 |  3810  -4952.6 |     +969     +419 |  -1009.1     -325 | fail
12  0.20 8    |  4189     +719  1.25   -1009.1 |  2431  -2909.9 |     +481     +238 |  -1009.1     -465 | fail
12  0.50 8    |  4189    +1250  1.38   -1009.1 |  2678  -3252.8 |     +739     +512 |  -1009.1      -43 | fail
12  0.75 8    |  4181    +2072  1.52   -1009.1 |  3028  -3990.2 |    +1289     +784 |  -1009.1     +582 | fail
