HONEST-ENTRY-BASIS CERT — coin=LINK early=1 bars=48569 thr=0.50% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    | 14685     -647  0.93   -1054.6 |  9503  -9548.1 |      -72     -576 |  -1054.6    -4641 | fail
1   0.50 8    | 14681    +1747  1.16   -1054.6 |  9809 -10663.0 |    +1236     +512 |  -1054.6    -2372 | fail
1   0.75 8    | 14677    +3157  1.29   -1054.6 |  9028 -10985.0 |    +1971    +1186 |  -1054.6    -1415 | fail
2   0.20 8    | 14381     +616  1.07   -1194.6 |  9199  -8840.8 |     +767     -151 |  -1194.6    -3319 | fail
2   0.50 8    | 14377    +3175  1.32   -1194.6 |  9569  -9942.5 |    +2143    +1032 |  -1194.6    -1128 | fail
2   0.75 8    | 14373    +4435  1.42   -1194.6 |  8912 -10602.0 |    +2777    +1658 |  -1194.6     -156 | fail
4   0.20 8    | 12972     +786  1.10   -1372.9 |  7967  -7896.3 |     +694      +92 |  -1372.9    -2782 | fail
4   0.50 8    | 12972    +3227  1.36   -1372.9 |  8586  -8984.4 |    +1978    +1250 |  -1372.9     -637 | fail
4   0.75 8    | 12972    +4263  1.42   -1372.9 |  8432 -10137.7 |    +2378    +1885 |  -1372.9     +196 | fail
12  0.20 8    |  8371     +873  1.18   -1130.3 |  5067  -4940.1 |     +863      +10 |  -1130.3    -1481 | fail
12  0.50 8    |  8371    +1288  1.22   -1130.3 |  5620  -5872.0 |     +891     +396 |  -1130.3    -1068 | fail
12  0.75 8    |  8371    +1980  1.27   -1130.3 |  6174  -7358.1 |    +1300     +680 |  -1130.3     -574 | fail
