HONEST-ENTRY-BASIS CERT — coin=MANA early=1 bars=31062 thr=0.50% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  8608      -81  0.98    -956.2 |  5579  -5179.4 |     -106      +25 |   -956.2    -2502 | fail
1   0.50 8    |  8608    +1718  1.30    -956.2 |  5731  -5803.6 |     +682    +1036 |   -956.2     -993 | fail
1   0.75 8    |  8608    +2437  1.40    -956.2 |  5292  -6038.0 |    +1058    +1378 |   -956.2     -520 | fail
2   0.20 8    |  8491     +217  1.04    -956.2 |  5394  -4909.6 |     +108     +109 |   -956.2    -2189 | fail
2   0.50 8    |  8491    +2032  1.36    -956.2 |  5597  -5573.3 |     +883    +1149 |   -956.2     -617 | fail
2   0.75 8    |  8491    +2936  1.50    -956.2 |  5153  -5882.3 |    +1337    +1599 |   -956.2      +41 | fail
4   0.20 8    |  7597     +577  1.13   -1018.2 |  4762  -4303.8 |      +40     +537 |  -1018.2    -1558 | fail
4   0.50 8    |  7597    +2036  1.40   -1018.2 |  5040  -5055.3 |     +627    +1408 |  -1018.2     -267 | fail
4   0.75 8    |  7597    +2499  1.44   -1018.2 |  4966  -5639.7 |     +775    +1724 |  -1018.2      +44 | fail
12  0.20 8    |  5055     +461  1.16   -1026.9 |  3180  -2952.8 |     +246     +215 |  -1026.9     -905 | fail
12  0.50 8    |  5055    +1009  1.29   -1026.9 |  3480  -3487.0 |     +237     +772 |  -1026.9     -395 | fail
12  0.75 8    |  5055     +705  1.16   -1131.0 |  3762  -4350.3 |     +141     +564 |  -1131.0     -663 | fail
