HONEST-ENTRY-BASIS CERT — coin=NEAR early=1 bars=48569 thr=1.50% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  8149     +472  1.07   -1335.9 |  4881  -7070.0 |     +200     +272 |  -1335.9    -1826 | fail
1   0.50 8    |  8149    +2365  1.31   -1335.9 |  5339  -7738.2 |     +861    +1504 |  -1335.9       -7 | fail
1   0.75 8    |  8149    +3581  1.40   -1335.9 |  5744  -8878.4 |    +1489    +2092 |  -1335.9    +1001 | fail
2   0.20 8    |  9734     +738  1.09   -1314.1 |  5904  -7925.7 |     +622     +116 |  -1314.1    -2043 | fail
2   0.50 8    |  9734    +2184  1.25   -1314.1 |  6480  -8790.2 |    +1379     +805 |  -1314.1     -736 | fail
2   0.75 8    |  9734    +3620  1.36   -1314.1 |  6900 -10056.0 |    +2084    +1536 |  -1314.1     +490 | fail
4   0.20 8    |  9571    +1847  1.25   -1279.5 |  5683  -7329.5 |    +1290     +557 |  -1279.5     -843 | fail
4   0.50 8    |  9571    +3562  1.44   -1279.5 |  6207  -8131.2 |    +2154    +1408 |  -1279.5     +964 | fail
4   0.75 8    |  9571    +5054  1.53   -1279.5 |  6639  -9508.8 |    +2775    +2279 |  -1279.5    +2474 | fail
8   0.20 8    |  7956    +1162  1.19   -1360.3 |  4823  -6041.2 |     +559     +603 |  -1360.3    -1124 | fail
8   0.50 8    |  7956    +2478  1.37   -1360.3 |  5266  -6737.5 |    +1008    +1469 |  -1360.3     +244 | fail
8   0.75 8    |  7956    +3167  1.39   -1360.3 |  5785  -8129.5 |    +1189    +1978 |  -1360.3    +1061 | fail
12  0.20 8    |  6765     +813  1.16   -1375.2 |  4005  -5118.7 |     +556     +258 |  -1375.2    -1131 | fail
12  0.50 8    |  6765    +1472  1.26   -1375.2 |  4431  -5724.0 |     +504     +968 |  -1375.2     -488 | fail
12  0.75 8    |  6765    +2739  1.39   -1375.2 |  5003  -6997.9 |    +1089    +1650 |  -1375.2     +903 | fail
