HONEST-ENTRY-BASIS CERT — coin=OP early=1 bars=36190 thr=2.00% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  3235     +881  1.30   -1592.3 |  1788  -2910.3 |     +661     +220 |  -1592.3     -171 | fail
1   0.50 8    |  3235    +1209  1.37   -1592.3 |  2050  -3232.1 |    +1046     +163 |  -1592.3     +138 | fail
1   0.75 8    |  3235    +1761  1.46   -1592.3 |  2357  -3800.1 |    +1080     +681 |  -1592.3     +444 | fail
2   0.20 8    |  4814     +645  1.16   -1479.5 |  2930  -4023.3 |     +890     -245 |  -1479.5     -739 | fail
2   0.50 8    |  4814    +1503  1.33   -1479.5 |  3241  -4493.1 |    +1303     +200 |  -1479.5      +67 | fail
2   0.75 8    |  4814    +2355  1.44   -1479.5 |  3584  -5339.3 |    +1605     +750 |  -1479.5     +548 | fail
4   0.20 8    |  5387     +665  1.16   -1229.8 |  3192  -4278.7 |     +746      -80 |  -1229.8     -955 | fail
4   0.50 8    |  5387    +1315  1.28   -1229.8 |  3474  -4679.5 |     +974     +342 |  -1229.8     -375 | fail
4   0.75 8    |  5387    +2306  1.41   -1229.8 |  3944  -5689.0 |    +1596     +710 |  -1229.8     +362 | fail
8   0.20 8    |  4765     +654  1.18   -1199.7 |  2835  -3556.8 |     +868     -214 |  -1199.7     -587 | fail
8   0.50 8    |  4765    +1206  1.31   -1199.7 |  3117  -3941.0 |    +1038     +167 |  -1199.7     -151 | fail
8   0.75 8    |  4765    +1859  1.38   -1199.7 |  3624  -4914.3 |    +1626     +233 |  -1199.7     +553 | fail
12  0.20 8    |  4235     +110  1.04   -1561.4 |  2672  -3124.0 |     +281     -171 |  -1561.4    -1122 | fail
12  0.50 8    |  4235     +405  1.12   -1561.4 |  2872  -3434.2 |     +438      -33 |  -1561.4     -780 | fail
12  0.75 8    |  4235     +658  1.15   -1561.4 |  3301  -4432.2 |     +490     +168 |  -1561.4     -573 | fail
