HONEST-ENTRY-BASIS CERT — coin=RUNE early=0 bars=31062 thr=1.00% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  4970    +4589  3.66    -896.5 |  2144  -1727.5 |    +2612    +1977 |   -896.5    +3107 | PASS
1   0.50 8    |  4970    +4751  2.87   -1491.8 |  2759  -2537.5 |    +2818    +1933 |  -1491.8    +3277 | PASS
1   0.75 8    |  4970    +5154  2.50   -1491.8 |  3069  -3440.7 |    +3154    +2000 |  -1491.8    +3743 | PASS
2   0.20 8    |  5895    +5429  3.91    -691.0 |  2538  -1866.5 |    +3214    +2216 |   -691.0    +3666 | PASS
2   0.50 8    |  5895    +5512  2.92    -793.8 |  3302  -2869.1 |    +3390    +2123 |   -793.8    +3789 | PASS
2   0.75 8    |  5887    +5545  2.38   -1570.1 |  3630  -4004.0 |    +3417    +2129 |  -1570.1    +3940 | PASS
4   0.20 8    |  5513    +5323  4.22    -851.0 |  2365  -1654.5 |    +3034    +2289 |   -851.0    +3678 | PASS
4   0.50 8    |  5513    +5037  2.97    -851.0 |  3140  -2554.5 |    +3048    +1989 |   -851.0    +3438 | PASS
4   0.75 8    |  5505    +5127  2.39   -1619.2 |  3367  -3688.5 |    +3083    +2044 |  -1619.2    +3592 | PASS
12  0.20 8    |  3848    +3617  3.97    -689.3 |  1621  -1217.5 |    +1862    +1756 |   -689.3    +2463 | PASS
12  0.50 8    |  3848    +3382  2.79    -689.3 |  2155  -1893.5 |    +1885    +1497 |   -689.3    +2281 | PASS
12  0.75 8    |  3840    +3894  2.38   -1570.1 |  2586  -2813.5 |    +2358    +1536 |  -1570.1    +2839 | PASS
