HONEST-ENTRY-BASIS CERT — coin=SAND early=1 bars=31062 thr=1.00% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  5513     +549  1.16   -1303.6 |  3442  -3514.7 |      +38     +511 |  -1303.6     -922 | fail
1   0.50 8    |  5513    +1073  1.27   -1303.6 |  3770  -4041.9 |     +276     +797 |  -1303.6     -398 | fail
1   0.75 8    |  5513    +1309  1.27   -1303.6 |  3902  -4777.0 |     +346     +964 |  -1303.6     -225 | fail
2   0.20 8    |  6421     +658  1.17   -1303.6 |  3937  -3849.7 |     -178     +837 |  -1303.6    -1060 | fail
2   0.50 8    |  6421    +1338  1.29   -1713.7 |  4472  -4592.3 |     +154    +1184 |  -1713.7     -375 | fail
2   0.75 8    |  6421    +1713  1.32   -1713.7 |  4476  -5379.0 |     +390    +1323 |  -1713.7     -202 | fail
4   0.20 8    |  6232     +735  1.21   -1218.6 |  3874  -3578.5 |     -123     +859 |  -1218.6     -966 | fail
4   0.50 8    |  6232    +1658  1.39   -1713.7 |  4356  -4264.2 |     +228    +1430 |  -1713.7     -102 | fail
4   0.75 8    |  6232    +1986  1.39   -1713.7 |  4386  -5134.9 |     +457    +1529 |  -1713.7     +110 | fail
12  0.20 8    |  4322      +76  1.03   -1218.6 |  2776  -2635.7 |      -83     +159 |  -1218.6    -1175 | fail
12  0.50 8    |  4322     +532  1.17   -1218.6 |  3054  -3116.6 |     -292     +824 |  -1218.6     -793 | fail
12  0.75 8    |  4322     +635  1.16   -1599.0 |  3281  -3948.3 |     -293     +927 |  -1599.0     -728 | fail
