HONEST-ENTRY-BASIS CERT — coin=SOL early=1 bars=48569 thr=2.00% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  4199    +1130  1.31   -2212.4 |  2354  -3588.0 |     +997     +133 |  -2212.4      -58 | fail
1   0.50 8    |  4199    +1987  1.50   -2212.4 |  2605  -3987.4 |    +1823     +164 |  -2212.4     +833 | fail
1   0.75 8    |  4199    +3119  1.66   -2212.4 |  2958  -4745.9 |    +2443     +676 |  -2212.4    +1872 | PASS
2   0.20 8    |  5996    +1361  1.30   -1481.8 |  3438  -4577.3 |    +1416      -55 |  -1481.8     -348 | fail
2   0.50 8    |  5996    +2259  1.44   -1481.8 |  3825  -5099.0 |    +2149     +110 |  -1481.8     +573 | fail
2   0.75 8    |  5996    +2985  1.48   -1481.8 |  4350  -6266.8 |    +2414     +571 |  -1481.8    +1368 | fail
4   0.20 8    |  6751    +2191  1.46   -2062.8 |  3826  -4773.7 |    +2056     +135 |  -2062.8     +299 | fail
4   0.50 8    |  6751    +3647  1.67   -2062.8 |  4343  -5459.7 |    +3224     +423 |  -2062.8    +1711 | fail
4   0.75 8    |  6751    +4431  1.66   -2062.8 |  4880  -6685.3 |    +3589     +842 |  -2062.8    +2690 | PASS
8   0.20 8    |  6128    +1462  1.34   -1481.8 |  3522  -4318.0 |    +1407      +54 |  -1481.8     -278 | fail
8   0.50 8    |  6128    +2025  1.42   -1481.8 |  3854  -4824.1 |    +1345     +680 |  -1481.8     +150 | fail
8   0.75 8    |  6128    +3229  1.54   -1481.8 |  4437  -6013.8 |    +2048    +1181 |  -1481.8    +1426 | fail
12  0.20 8    |  5357    +1290  1.35   -1385.6 |  3101  -3636.2 |    +1216      +74 |  -1385.6     -256 | fail
12  0.50 8    |  5357    +1653  1.40   -1385.6 |  3493  -4141.7 |    +1050     +603 |  -1385.6       -1 | fail
12  0.75 8    |  5357    +2570  1.50   -1385.6 |  4028  -5161.8 |    +1420    +1150 |  -1385.6     +740 | fail
