HONEST-ENTRY-BASIS CERT — coin=SUI early=1 bars=28123 thr=1.00% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  6239     +537  1.12   -1902.6 |  3807  -4481.1 |     +133     +404 |  -1902.6    -1134 | fail
1   0.50 8    |  6239    +1760  1.35   -1902.6 |  4128  -5046.4 |     +774     +987 |  -1902.6       -6 | fail
1   0.75 8    |  6239    +2503  1.44   -1902.6 |  4203  -5700.1 |    +1294    +1209 |  -1902.6     +711 | fail
2   0.20 8    |  6882    +1336  1.29   -1902.6 |  4151  -4667.8 |     +662     +674 |  -1902.6     -673 | fail
2   0.50 8    |  6882    +2698  1.50   -1902.6 |  4553  -5352.2 |    +1345    +1352 |  -1902.6     +514 | fail
2   0.75 8    |  6882    +3776  1.63   -1902.6 |  4566  -5983.4 |    +2066    +1710 |  -1902.6    +1458 | fail
4   0.20 8    |  6283    +1052  1.25   -1029.8 |  3889  -4259.6 |     +375     +677 |  -1029.8     -683 | fail
4   0.50 8    |  6283    +2010  1.42   -1029.8 |  4231  -4786.4 |     +909    +1101 |  -1029.8     +188 | fail
4   0.75 8    |  6283    +2766  1.49   -1029.8 |  4415  -5602.6 |    +1185    +1581 |  -1029.8     +861 | fail
12  0.20 8    |  4164     +763  1.27   -1598.1 |  2554  -2820.7 |     +444     +318 |  -1598.1     -434 | fail
12  0.50 8    |  4164    +1743  1.55   -1598.1 |  2828  -3187.5 |     +932     +811 |  -1598.1     +484 | fail
12  0.75 8    |  4164    +2319  1.59   -1598.1 |  3107  -3909.7 |    +1458     +861 |  -1598.1    +1100 | fail
