HONEST-ENTRY-BASIS CERT — coin=SUSHI early=1 bars=31062 thr=0.50% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  9523     -127  0.98   -1552.6 |  6211  -6189.2 |     -563     +437 |  -1552.6    -2740 | fail
1   0.50 8    |  9523    +1202  1.17   -1552.6 |  6468  -6877.0 |      +10    +1193 |  -1552.6    -1428 | fail
1   0.75 8    |  9523    +2109  1.30   -1552.6 |  5899  -7077.2 |     +376    +1733 |  -1552.6     -774 | fail
2   0.20 8    |  9248     +573  1.10   -1332.2 |  5946  -5738.5 |     -180     +753 |  -1332.2    -2070 | fail
2   0.50 8    |  9248    +1913  1.29   -1332.2 |  6259  -6509.6 |     +531    +1382 |  -1332.2     -713 | fail
2   0.75 8    |  9248    +2838  1.42   -1332.2 |  5856  -6831.1 |     +942    +1896 |  -1332.2      +31 | fail
4   0.20 8    |  8214    +1129  1.23   -1600.3 |  5049  -4945.3 |     +176     +953 |  -1600.3    -1224 | fail
4   0.50 8    |  8214    +2116  1.37   -1600.3 |  5441  -5678.4 |     +719    +1396 |  -1600.3     -168 | fail
4   0.75 8    |  8212    +3055  1.48   -1600.3 |  5293  -6378.5 |    +1000    +2055 |  -1600.3     +644 | fail
12  0.20 8    |  5412     +742  1.23    -969.2 |  3297  -3234.5 |     +111     +631 |   -969.2     -768 | fail
12  0.50 8    |  5412    +1538  1.40    -969.2 |  3700  -3820.4 |     +544     +994 |   -969.2      +17 | fail
12  0.75 8    |  5412    +1713  1.36    -969.2 |  4040  -4789.7 |     +383    +1331 |   -969.2     -102 | fail
