HONEST-ENTRY-BASIS CERT — coin=THETA early=1 bars=31062 thr=2.00% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  2061     +571  1.41   -1146.3 |  1137  -1391.1 |     +440     +130 |  -1146.3       -0 | fail
1   0.50 8    |  2061     +768  1.47   -1146.3 |  1250  -1618.2 |     +607     +161 |  -1146.3     +196 | fail
1   0.75 8    |  2061    +1115  1.54   -1146.3 |  1473  -2053.8 |     +972     +143 |  -1146.3     +446 | fail
2   0.20 8    |  3252     +273  1.12   -1029.3 |  1923  -2270.8 |     +403     -130 |  -1029.3     -690 | fail
2   0.50 8    |  3252     +605  1.23   -1029.3 |  2133  -2586.9 |     +382     +223 |  -1029.3     -314 | fail
2   0.75 8    |  3252    +1001  1.32   -1029.3 |  2445  -3111.4 |     +815     +186 |  -1029.3      +48 | fail
4   0.20 8    |  3925     +573  1.23   -1443.6 |  2297  -2488.8 |     +707     -135 |  -1443.6     -550 | fail
4   0.50 8    |  3925     +918  1.31   -1443.6 |  2596  -2954.9 |     +821      +97 |  -1443.6     -233 | fail
4   0.75 8    |  3925    +1278  1.34   -1443.6 |  2961  -3743.1 |    +1124     +154 |  -1443.6     +281 | fail
8   0.20 8    |  3776     +431  1.18   -1257.6 |  2299  -2389.6 |     +306     +126 |  -1257.6     -626 | fail
8   0.50 8    |  3776     +497  1.18   -1257.6 |  2521  -2741.0 |     +324     +173 |  -1257.6     -597 | fail
8   0.75 8    |  3776     +971  1.28   -1257.6 |  2904  -3435.2 |     +576     +395 |  -1257.6      -56 | fail
12  0.20 8    |  3381     +234  1.11   -1004.7 |  2073  -2147.3 |     +223      +11 |  -1004.7     -757 | fail
12  0.50 8    |  3381      -87  0.97   -1004.7 |  2296  -2523.1 |      -54      -33 |  -1004.7    -1065 | fail
12  0.75 8    |  3381     +232  1.07   -1004.7 |  2624  -3137.3 |      +84     +148 |  -1004.7     -708 | fail
