HONEST-ENTRY-BASIS CERT — coin=TIA early=0 bars=23775 thr=1.00% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  5207    +5202  3.46   -1461.1 |  2287  -2112.4 |    +3005    +2196 |  -1461.1    +3649 | PASS
1   0.50 8    |  5207    +4536  2.50   -1461.1 |  2947  -3026.7 |    +2732    +1804 |  -1461.1    +3028 | PASS
1   0.75 8    |  5207    +4546  2.16   -1461.1 |  3233  -3915.6 |    +2713    +1834 |  -1461.1    +3187 | PASS
2   0.20 8    |  5465    +5366  3.56    -572.1 |  2396  -2094.0 |    +3136    +2231 |   -572.1    +3755 | PASS
2   0.50 8    |  5465    +4792  2.64    -572.1 |  3053  -2929.4 |    +2868    +1924 |   -572.1    +3216 | PASS
2   0.75 8    |  5465    +5030  2.28   -1028.6 |  3325  -3914.8 |    +3004    +2026 |  -1028.6    +3591 | PASS
4   0.20 8    |  4942    +5177  3.77    -872.2 |  2159  -1867.3 |    +3034    +2144 |   -872.2    +3703 | PASS
4   0.50 8    |  4942    +5125  2.95    -911.1 |  2696  -2626.6 |    +2964    +2160 |   -911.1    +3643 | PASS
4   0.75 8    |  4942    +4997  2.37    -911.1 |  3152  -3648.8 |    +2863    +2133 |   -911.1    +3593 | PASS
12  0.20 8    |  3403    +3388  3.60    -627.7 |  1568  -1303.6 |    +2276    +1112 |   -627.7    +2367 | PASS
12  0.50 8    |  3403    +2575  2.39    -760.7 |  1959  -1849.4 |    +1463    +1113 |   -760.7    +1593 | PASS
12  0.75 8    |  3403    +2843  2.03   -1039.3 |  2454  -2770.9 |    +1679    +1164 |  -1039.3    +2039 | PASS
