HONEST-ENTRY-BASIS CERT — coin=TRX early=1 bars=48569 thr=2.00% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  1419     +158  1.13   -1280.7 |   857  -1181.4 |       -7     +164 |  -1280.7     -257 | fail
1   0.50 8    |  1419     +275  1.21   -1280.7 |   931  -1296.1 |     +275       -0 |  -1280.7     -146 | fail
1   0.75 8    |  1419     +484  1.32   -1280.7 |  1012  -1533.9 |     +518      -34 |  -1280.7      +73 | fail
2   0.20 8    |  2183     +693  1.46   -1184.4 |  1275  -1499.9 |     +250     +443 |  -1184.4      +62 | fail
2   0.50 8    |  2183    +1021  1.60   -1184.4 |  1395  -1698.6 |     +486     +535 |  -1184.4     +384 | fail
2   0.75 8    |  2183    +1424  1.67   -1184.4 |  1579  -2139.0 |     +770     +654 |  -1184.4     +629 | fail
4   0.20 8    |  2588     +177  1.12   -1085.2 |  1554  -1530.8 |     +158      +20 |  -1085.2     -574 | fail
4   0.50 8    |  2588     +848  1.48   -1085.2 |  1729  -1767.2 |     +516     +333 |  -1085.2      -10 | fail
4   0.75 8    |  2588    +1379  1.61   -1085.2 |  1959  -2275.4 |    +1154     +224 |  -1085.2     +345 | fail
8   0.20 8    |  2772     +149  1.10   -1669.5 |  1704  -1507.1 |      +91      +58 |  -1669.5     -709 | fail
8   0.50 8    |  2772     +277  1.15   -1669.5 |  1889  -1819.4 |     +169     +108 |  -1669.5     -534 | fail
8   0.75 8    |  2772    +1657  1.69   -1669.5 |  2138  -2398.4 |     +694     +963 |  -1669.5     +648 | fail
12  0.20 8    |  2699      -70  0.95   -1222.6 |  1764  -1407.5 |     +131     -201 |  -1222.6     -846 | fail
12  0.50 8    |  2699      +17  1.01   -1222.6 |  1912  -1736.7 |     +371     -354 |  -1222.6     -731 | fail
12  0.75 8    |  2699    +1617  1.74   -1222.6 |  2139  -2191.1 |    +1234     +383 |  -1222.6     +620 | fail
