HONEST-ENTRY-BASIS CERT — coin=UNI early=1 bars=48569 thr=0.50% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    | 15009      +45  1.00   -1459.6 |  9776 -10487.9 |      -38      +83 |  -1459.6    -4069 | fail
1   0.50 8    | 15009    +3829  1.34   -1459.6 |  9775 -11277.3 |    +1667    +2162 |  -1459.6     -770 | fail
1   0.75 8    | 15009    +5221  1.45   -1459.6 |  9062 -11577.7 |    +2445    +2777 |  -1459.6     +310 | fail
2   0.20 8    | 14391    +1360  1.14   -1422.0 |  9071  -9571.3 |     +649     +710 |  -1422.0    -2606 | fail
2   0.50 8    | 14391    +4225  1.40   -1422.0 |  9457 -10571.1 |    +1870    +2355 |  -1422.0      -34 | fail
2   0.75 8    | 14391    +6251  1.56   -1422.0 |  8928 -11097.3 |    +2903    +3349 |  -1422.0    +1179 | fail
4   0.20 8    | 13208    +1985  1.24   -1377.6 |  8186  -8364.1 |     +773    +1212 |  -1377.6    -1807 | fail
4   0.50 8    | 13208    +4352  1.46   -1377.6 |  8737  -9418.3 |    +2057    +2294 |  -1377.6     +300 | fail
4   0.75 8    | 13208    +5594  1.53   -1377.6 |  8577 -10551.8 |    +2822    +2772 |  -1377.6    +1096 | fail
12  0.20 8    |  8361     +432  1.08   -1241.1 |  5258  -5494.5 |     +309     +124 |  -1241.1    -1934 | fail
12  0.50 8    |  8361    +1353  1.21   -1241.1 |  5771  -6294.8 |     +794     +559 |  -1241.1    -1073 | fail
12  0.75 8    |  8361    +2112  1.27   -1241.1 |  6248  -7852.7 |    +1087    +1024 |  -1241.1     -406 | fail
