HONEST-ENTRY-BASIS CERT — coin=VET early=0 bars=31062 thr=0.50% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  6883    +3635  2.51    -859.1 |  3453  -2400.8 |    +1643    +1992 |   -859.1    +1589 | PASS
1   0.50 8    |  6883    +3027  1.87   -1225.4 |  4166  -3464.1 |    +1337    +1690 |  -1225.4    +1113 | fail
1   0.75 8    |  6883    +3317  1.81   -1225.4 |  3934  -4070.1 |    +1511    +1805 |  -1225.4    +1509 | PASS
2   0.20 8    |  6786    +3971  2.78    -859.1 |  3278  -2233.6 |    +1638    +2334 |   -859.1    +1942 | PASS
2   0.50 8    |  6786    +3547  2.10   -1225.4 |  3955  -3230.2 |    +1508    +2039 |  -1225.4    +1607 | PASS
2   0.75 8    |  6786    +3952  1.99   -1225.4 |  3909  -3984.0 |    +1805    +2147 |  -1225.4    +2023 | PASS
4   0.20 8    |  6348    +4106  2.95    -872.8 |  3050  -2107.6 |    +1493    +2613 |   -872.8    +2224 | PASS
4   0.50 8    |  6348    +3488  2.14   -1238.5 |  3711  -3050.6 |    +1199    +2288 |  -1238.5    +1656 | PASS
4   0.75 8    |  6348    +3868  2.00   -1238.5 |  3730  -3862.3 |    +1580    +2288 |  -1238.5    +2040 | PASS
12  0.20 8    |  4366    +2468  2.78    -677.4 |  2128  -1389.5 |    +1082    +1386 |   -677.4    +1155 | PASS
12  0.50 8    |  4366    +1501  1.70   -1265.9 |  2742  -2158.3 |     +607     +894 |  -1265.9     +286 | fail
12  0.75 8    |  4366    +1518  1.49   -1265.9 |  3079  -3072.0 |     +624     +895 |  -1265.9     +287 | fail
