HONEST-ENTRY-BASIS CERT — coin=XRP early=0 bars=48569 thr=0.50% confirm=60bp anchor=1 RT=30/60bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    | 10038    +5461  2.50    -839.6 |  5262  -3633.5 |    +3254    +2207 |   -839.6    +2469 | PASS
1   0.50 8    | 10038    +4735  1.91   -1010.3 |  6293  -5199.3 |    +2731    +2004 |  -1010.3    +1912 | fail
1   0.75 8    | 10038    +5475  1.88   -1010.3 |  5899  -6186.7 |    +3162    +2312 |  -1010.3    +2929 | PASS
2   0.20 8    | 10288    +6040  2.73    -858.0 |  5243  -3492.5 |    +3473    +2567 |   -858.0    +2968 | PASS
2   0.50 8    | 10288    +5466  2.06   -1629.6 |  6220  -5144.0 |    +3228    +2238 |  -1629.6    +2558 | PASS
2   0.75 8    | 10288    +6211  2.01   -1629.6 |  5956  -6168.1 |    +3421    +2791 |  -1629.6    +3500 | PASS
4   0.20 8    |  9622    +6331  3.07    -624.4 |  4770  -3062.6 |    +3855    +2476 |   -624.4    +3474 | PASS
4   0.50 8    |  9622    +5341  2.15    -999.0 |  5848  -4628.5 |    +3120    +2221 |   -999.0    +2662 | PASS
4   0.75 8    |  9622    +6569  2.13    -999.0 |  5786  -5808.0 |    +3771    +2798 |   -999.0    +3931 | PASS
12  0.20 8    |  6352    +4465  3.25    -836.8 |  3114  -1983.1 |    +2605    +1860 |   -836.8    +2564 | PASS
12  0.50 8    |  6352    +4071  2.33    -836.8 |  3980  -3067.9 |    +2233    +1838 |   -836.8    +2284 | PASS
12  0.75 8    |  6352    +5230  2.18    -896.4 |  4483  -4430.9 |    +3012    +2217 |   -896.4    +3390 | PASS
