HONEST-ENTRY-BASIS CERT — coin=AAVE early=1 native=0 bars=48569 thr=0.50% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    | 15297     +278  1.03   -1548.0 |  9777 -10586.6 |     +405     -127 |  -1548.0    -3529 | fail
1   0.50 8    | 15297    +3715  1.32   -1548.0 | 10047 -11512.6 |    +2307    +1409 |  -1548.0      -84 | fail
1   0.75 8    | 15297    +5416  1.45   -1548.0 |  9345 -11958.4 |    +3357    +2059 |  -1548.0    +1148 | fail
2   0.20 8    | 14832    +1826  1.19   -1669.5 |  9154  -9725.2 |    +1254     +572 |  -1669.5    -2066 | fail
2   0.50 8    | 14832    +4927  1.46   -1669.5 |  9522 -10662.4 |    +2736    +2191 |  -1669.5     +967 | fail
2   0.75 8    | 14832    +6258  1.55   -1669.5 |  8983 -11442.5 |    +3514    +2744 |  -1669.5    +2139 | fail
4   0.20 8    | 13367    +2758  1.33   -2250.2 |  7933  -8396.3 |    +1991     +767 |  -2250.2     -794 | fail
4   0.50 8    | 13367    +4880  1.51   -2250.2 |  8516  -9476.2 |    +3170    +1710 |  -2250.2    +1287 | fail
4   0.75 8    | 13367    +6387  1.60   -2250.2 |  8382 -10601.2 |    +3996    +2391 |  -2250.2    +2566 | fail
8   0.20 8    | 10411    +1814  1.28   -1288.9 |  6164  -6450.5 |    +1286     +528 |  -1288.9     -941 | fail
8   0.50 8    | 10411    +2878  1.38   -1288.9 |  6785  -7530.3 |    +1816    +1061 |  -1288.9     +104 | fail
8   0.75 8    | 10411    +4566  1.50   -1288.9 |  7299  -9115.9 |    +2599    +1967 |  -1288.9    +1607 | fail
12  0.20 8    |  8367    +1271  1.24   -1188.2 |  5000  -5283.5 |    +1065     +206 |  -1188.2    -1014 | fail
12  0.50 8    |  8367    +2414  1.39   -1188.2 |  5573  -6123.1 |    +1434     +980 |  -1188.2      +88 | fail
12  0.75 8    |  8367    +3361  1.45   -1188.2 |  6102  -7508.1 |    +1875    +1485 |  -1188.2     +848 | fail
