HONEST-ENTRY-BASIS CERT — coin=ADA early=1 native=0 bars=48569 thr=2.00% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  3215     +433  1.15   -1429.2 |  1871  -2867.5 |     +219     +214 |  -1429.2     -384 | fail
1   0.50 8    |  3215    +1430  1.46   -1429.2 |  2040  -3138.6 |     +741     +689 |  -1429.2     +561 | fail
1   0.75 8    |  3215    +1875  1.51   -1429.2 |  2363  -3690.7 |    +1205     +670 |  -1429.2     +906 | fail
2   0.20 8    |  4738     +330  1.09   -1380.5 |  2873  -3550.6 |     +415      -86 |  -1380.5     -864 | fail
2   0.50 8    |  4738     +768  1.19   -1380.5 |  3162  -4009.3 |     +354     +414 |  -1380.5     -464 | fail
2   0.75 8    |  4738    +1770  1.36   -1380.5 |  3647  -4923.1 |     +761    +1009 |  -1380.5     +382 | fail
4   0.20 8    |  5525     +774  1.20   -1598.6 |  3339  -3838.8 |     +686      +88 |  -1598.6     -695 | fail
4   0.50 8    |  5525    +1310  1.30   -1598.6 |  3732  -4327.6 |     +844     +466 |  -1598.6     -235 | fail
4   0.75 8    |  5525    +1887  1.36   -1598.6 |  4266  -5261.6 |    +1279     +608 |  -1598.6     +264 | fail
8   0.20 8    |  5269     +666  1.19   -1755.6 |  3298  -3511.5 |     +338     +328 |  -1755.6     -829 | fail
8   0.50 8    |  5261    +1396  1.34   -1755.6 |  3669  -4055.4 |     +482     +914 |  -1755.6     -210 | fail
8   0.75 8    |  5261    +1517  1.30   -1755.6 |  4181  -5051.9 |     +556     +961 |  -1755.6      +84 | fail
12  0.20 8    |  4766     +842  1.27   -1755.6 |  2938  -3097.4 |     +473     +369 |  -1755.6     -525 | fail
12  0.50 8    |  4766    +1304  1.36   -1755.6 |  3302  -3620.2 |     +717     +587 |  -1755.6      +49 | fail
12  0.75 8    |  4758    +1562  1.34   -1755.6 |  3754  -4591.5 |    +1253     +309 |  -1755.6     +338 | fail
