HONEST-ENTRY-BASIS CERT — coin=APT early=1 native=0 bars=31062 thr=1.50% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  3866     +469  1.17   -1189.1 |  2350  -2764.5 |     +491      -23 |  -1189.1     -589 | fail
1   0.50 8    |  3866    +1303  1.41   -1189.1 |  2566  -3165.8 |    +1262      +41 |  -1189.1     +294 | fail
1   0.75 8    |  3866    +1132  1.29   -1189.1 |  2858  -3836.5 |    +1184      -52 |  -1189.1     +355 | fail
2   0.20 8    |  5007     +516  1.15   -1060.7 |  3064  -3500.5 |     +685     -169 |  -1060.7     -617 | fail
2   0.50 8    |  5007    +1739  1.44   -1060.7 |  3313  -3915.3 |    +1694      +45 |  -1060.7     +717 | fail
2   0.75 8    |  5007    +1928  1.41   -1060.7 |  3621  -4689.2 |    +1668     +260 |  -1060.7     +984 | fail
4   0.20 8    |  5350     +404  1.11   -1036.1 |  3245  -3652.5 |     +450      -46 |  -1036.1     -872 | fail
4   0.50 8    |  5350    +1378  1.33   -1036.1 |  3503  -4119.4 |    +1124     +254 |  -1036.1     +188 | fail
4   0.75 8    |  5350    +1040  1.20   -1403.6 |  3975  -5250.5 |     +878     +163 |  -1403.6      -59 | fail
8   0.20 8    |  4619      -72  0.98   -1042.5 |  2976  -3233.6 |     +407     -478 |  -1042.5    -1326 | fail
8   0.50 8    |  4619     +444  1.12   -1042.5 |  3256  -3611.6 |     +995     -551 |  -1042.5     -805 | fail
8   0.75 8    |  4611     +624  1.14   -1423.8 |  3606  -4533.5 |    +1148     -524 |  -1423.8     -631 | fail
12  0.20 8    |  3997     +269  1.10   -1115.5 |  2563  -2687.6 |     +401     -132 |  -1115.5     -631 | fail
12  0.50 8    |  3997     +952  1.32   -1115.5 |  2792  -2997.0 |    +1114     -162 |  -1115.5     +122 | fail
12  0.75 8    |  3997    +1202  1.32   -1115.5 |  3102  -3725.7 |    +1210       -9 |  -1115.5     +171 | fail
