HONEST-ENTRY-BASIS CERT — coin=ATOM early=1 native=0 bars=31062 thr=0.50% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  8038     -366  0.92    -777.4 |  5206  -4310.9 |     -515     +149 |   -777.4    -2536 | fail
1   0.50 8    |  8038    +1049  1.22    -777.4 |  5260  -4824.1 |      +54     +995 |   -777.4    -1239 | fail
1   0.75 8    |  8038    +1752  1.35    -777.4 |  4761  -5077.6 |     +226    +1526 |   -777.4     -793 | fail
2   0.20 8    |  8004     -187  0.95    -704.2 |  5058  -4006.5 |     -280      +92 |   -704.2    -2338 | fail
2   0.50 8    |  8004     +987  1.22    -704.2 |  5207  -4537.7 |     +273     +713 |   -704.2    -1314 | fail
2   0.75 8    |  8004    +1694  1.35    -704.2 |  4731  -4797.2 |     +596    +1098 |   -704.2     -782 | fail
4   0.20 8    |  7276     -343  0.91    -816.9 |  4688  -3690.9 |     -461     +119 |   -816.9    -2297 | fail
4   0.50 8    |  7276     +496  1.11    -816.9 |  5051  -4327.5 |     -167     +663 |   -816.9    -1595 | fail
4   0.75 8    |  7276    +1121  1.23    -816.9 |  4763  -4937.5 |      +38    +1083 |   -816.9    -1188 | fail
8   0.20 8    |  5618     -334  0.88    -637.7 |  3584  -2857.4 |     -240      -94 |   -637.7    -1906 | fail
8   0.50 8    |  5618     +106  1.03    -637.7 |  3925  -3451.3 |     -242     +348 |   -637.7    -1505 | fail
8   0.75 8    |  5618     +474  1.11    -670.5 |  4017  -4220.4 |     -267     +742 |   -670.5    -1071 | fail
12  0.20 8    |  4762     -298  0.88    -758.9 |  3039  -2488.7 |     -293       -5 |   -758.9    -1543 | fail
12  0.50 8    |  4762     -195  0.93    -758.9 |  3347  -2981.7 |     -400     +205 |   -758.9    -1421 | fail
12  0.75 8    |  4762       +8  1.00    -990.0 |  3555  -3708.8 |     -466     +474 |   -990.0    -1166 | fail
