HONEST-ENTRY-BASIS CERT — coin=AVAX early=1 native=0 bars=48569 thr=2.00% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  4609    +1249  1.32   -1747.2 |  2517  -3954.0 |     +675     +574 |  -1747.2      +77 | fail
1   0.50 8    |  4609    +1878  1.43   -1747.2 |  2788  -4363.3 |    +1229     +650 |  -1747.2     +815 | fail
1   0.75 8    |  4609    +2977  1.57   -1747.2 |  3179  -5192.9 |    +1676    +1301 |  -1747.2    +1982 | PASS
2   0.20 8    |  6376    +1848  1.37   -1132.8 |  3626  -4956.2 |    +1254     +595 |  -1132.8     +231 | fail
2   0.50 8    |  6376    +3044  1.54   -1132.8 |  4084  -5657.8 |    +2307     +737 |  -1132.8    +1526 | fail
2   0.75 8    |  6376    +3956  1.58   -1132.8 |  4592  -6782.6 |    +3237     +719 |  -1132.8    +2267 | fail
4   0.20 8    |  6978    +1878  1.37   -2947.3 |  3886  -5138.4 |    +1187     +690 |  -2947.3      +93 | fail
4   0.50 8    |  6978    +2733  1.46   -2947.3 |  4358  -5877.4 |    +1838     +894 |  -2947.3     +962 | fail
4   0.75 8    |  6978    +3896  1.55   -2947.3 |  4952  -7098.0 |    +2779    +1117 |  -2947.3    +2175 | fail
8   0.20 8    |  6222    +1377  1.31   -1225.0 |  3573  -4426.9 |     +969     +408 |  -1225.0     -213 | fail
8   0.50 8    |  6222    +2841  1.56   -1225.0 |  3926  -5086.5 |    +1764    +1076 |  -1225.0    +1213 | fail
8   0.75 8    |  6222    +3856  1.61   -1225.0 |  4571  -6286.3 |    +2700    +1156 |  -1225.0    +2064 | fail
12  0.20 8    |  5419    +1244  1.32   -1435.5 |  3150  -3840.0 |     +800     +444 |  -1435.5     -210 | fail
12  0.50 8    |  5419    +1738  1.39   -1435.5 |  3433  -4490.9 |    +1062     +676 |  -1435.5     +337 | fail
12  0.75 8    |  5419    +2798  1.51   -1435.5 |  4022  -5538.1 |    +1891     +906 |  -1435.5    +1410 | fail
