HONEST-ENTRY-BASIS CERT — coin=BCH early=1 native=0 bars=48569 thr=1.00% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  7794     +681  1.14   -1031.0 |  4854  -4954.8 |     +276     +405 |  -1031.0    -1313 | fail
1   0.50 8    |  7794    +2301  1.41   -1031.0 |  5301  -5648.3 |    +1222    +1079 |  -1031.0     +189 | fail
1   0.75 8    |  7794    +2926  1.45   -1031.0 |  5407  -6520.0 |    +1589    +1337 |  -1031.0     +642 | fail
2   0.20 8    |  9178     +947  1.17   -1031.0 |  5691  -5607.1 |     +541     +406 |  -1031.0    -1417 | fail
2   0.50 8    |  9178    +2518  1.38   -1031.0 |  6287  -6540.5 |    +1429    +1088 |  -1031.0      -50 | fail
2   0.75 8    |  9178    +3045  1.39   -1465.0 |  6368  -7730.9 |    +1938    +1108 |  -1465.0     +598 | fail
4   0.20 8    |  9090    +1277  1.24   -1264.5 |  5627  -5238.7 |     +575     +702 |  -1264.5    -1049 | fail
4   0.50 8    |  9090    +2363  1.38   -1264.5 |  6245  -6289.9 |    +1211    +1152 |  -1264.5       +2 | fail
4   0.75 8    |  9090    +3303  1.45   -1465.0 |  6338  -7414.3 |    +1982    +1320 |  -1465.0     +868 | fail
8   0.20 8    |  7635     +678  1.15    -911.9 |  4790  -4422.3 |     +118     +560 |   -911.9    -1311 | fail
8   0.50 8    |  7635    +1540  1.30    -911.9 |  5271  -5212.7 |     +509    +1031 |   -911.9     -410 | fail
8   0.75 8    |  7635    +1665  1.25   -1444.1 |  5582  -6594.5 |     +661    +1004 |  -1444.1     -346 | fail
12  0.20 8    |  6417     +801  1.21   -1033.6 |  4084  -3768.9 |     +230     +571 |  -1033.6     -915 | fail
12  0.50 8    |  6417    +1859  1.42   -1033.6 |  4479  -4403.5 |     +906     +952 |  -1033.6      +88 | fail
12  0.75 8    |  6417    +1557  1.27   -1465.0 |  4957  -5666.6 |     +614     +943 |  -1465.0     -241 | fail
