HONEST-ENTRY-BASIS CERT — coin=BNB early=1 native=0 bars=48569 thr=2.00% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  1826     +665  1.54   -1219.2 |  1030  -1240.1 |     +417     +247 |  -1219.2     +195 | fail
1   0.50 8    |  1826    +1140  1.81   -1219.2 |  1156  -1406.2 |     +903     +237 |  -1219.2     +664 | PASS
1   0.75 8    |  1826    +1397  1.79   -1219.2 |  1312  -1762.9 |    +1134     +263 |  -1219.2     +874 | PASS
2   0.20 8    |  2838     +711  1.39   -1276.0 |  1663  -1826.0 |     +663      +48 |  -1276.0      -67 | fail
2   0.50 8    |  2838    +1366  1.66   -1276.0 |  1818  -2079.9 |    +1179     +187 |  -1276.0     +589 | fail
2   0.75 8    |  2838    +1726  1.66   -1276.0 |  2116  -2611.0 |    +1523     +203 |  -1276.0     +853 | fail
4   0.20 8    |  3506     +392  1.18   -1673.8 |  2118  -2170.5 |     +574     -182 |  -1673.8     -550 | fail
4   0.50 8    |  3506    +1094  1.44   -1673.8 |  2360  -2506.2 |    +1106      -11 |  -1673.8     +156 | fail
4   0.75 8    |  3506    +1841  1.59   -1673.8 |  2624  -3135.2 |    +1537     +304 |  -1673.8     +887 | fail
8   0.20 8    |  3651     +116  1.06   -1071.7 |  2244  -2047.4 |     +288     -172 |  -1071.7     -855 | fail
8   0.50 8    |  3651    +1677  1.69   -1071.7 |  2517  -2421.9 |    +1515     +162 |  -1071.7     +605 | fail
8   0.75 8    |  3651    +2588  1.84   -1071.7 |  2847  -3092.9 |    +2249     +340 |  -1071.7    +1588 | PASS
12  0.20 8    |  3488     +105  1.06   -1673.8 |  2203  -1902.5 |     +311     -207 |  -1673.8     -927 | fail
12  0.50 8    |  3488    +1573  1.70   -1673.8 |  2418  -2243.7 |    +1576       -3 |  -1673.8     +478 | fail
12  0.75 8    |  3488    +2610  1.90   -1673.8 |  2776  -2890.5 |    +2233     +377 |  -1673.8    +1340 | PASS
