HONEST-ENTRY-BASIS CERT — coin=BTC early=1 native=0 bars=48567 thr=1.00% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  4373      -37  0.98    -879.4 |  2737  -2289.4 |      +91     -128 |   -879.4    -1229 | fail
1   0.50 8    |  4373      -12  1.00    -879.4 |  3114  -2831.2 |     +137     -149 |   -879.4    -1203 | fail
1   0.75 8    |  4373      -32  0.99    -879.4 |  3287  -3506.8 |     +210     -243 |   -879.4    -1221 | fail
2   0.20 8    |  5437     +188  1.07   -1127.6 |  3441  -2693.8 |      +96      +92 |  -1127.6    -1210 | fail
2   0.50 8    |  5437     +100  1.03   -1127.6 |  3850  -3291.4 |      +85      +15 |  -1127.6    -1364 | fail
2   0.75 8    |  5437     +564  1.14   -1127.6 |  3873  -4097.3 |     +270     +294 |  -1127.6     -915 | fail
4   0.20 8    |  5834      +72  1.02   -1127.6 |  3647  -2873.0 |      -28     +100 |  -1127.6    -1522 | fail
4   0.50 8    |  5834     +468  1.13   -1127.6 |  4134  -3539.0 |     +202     +266 |  -1127.6    -1115 | fail
4   0.75 8    |  5834     +621  1.14   -1127.6 |  4163  -4301.1 |     +156     +465 |  -1127.6     -899 | fail
8   0.20 8    |  5222      -61  0.97    -882.2 |  3334  -2450.4 |     +131     -192 |   -882.2    -1421 | fail
8   0.50 8    |  5218     +323  1.11    -882.2 |  3729  -3040.7 |     +184     +139 |   -882.2    -1012 | fail
8   0.75 8    |  5215     +687  1.18    -882.2 |  3840  -3885.5 |     +412     +275 |   -882.2     -452 | fail
12  0.20 8    |  4694       +8  1.00    -745.2 |  2967  -2173.8 |     +192     -184 |   -745.2    -1238 | fail
12  0.50 8    |  4694     +299  1.11    -745.2 |  3343  -2721.0 |     +297       +3 |   -745.2     -972 | fail
12  0.75 8    |  4694     +880  1.25    -745.2 |  3428  -3453.5 |     +639     +242 |   -745.2     -270 | fail
