HONEST-ENTRY-BASIS CERT — coin=COMP early=1 native=0 bars=31062 thr=1.50% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  3168      -49  0.98   -1959.1 |  1906  -2211.8 |      +45      -94 |  -1959.1     -940 | fail
1   0.50 8    |  3168     +118  1.05   -1959.1 |  2173  -2551.0 |      +41      +77 |  -1959.1     -751 | fail
1   0.75 8    |  3168     +897  1.29   -1959.1 |  2423  -3061.9 |     +593     +305 |  -1959.1      -13 | fail
2   0.20 8    |  4521     -244  0.92    -904.7 |  2900  -3145.7 |     -110     -134 |   -904.7    -1541 | fail
2   0.50 8    |  4521     +414  1.12    -904.7 |  3213  -3581.5 |      -19     +432 |   -904.7     -904 | fail
2   0.75 8    |  4521    +1002  1.23   -1039.2 |  3426  -4273.4 |     +265     +738 |  -1039.2     -361 | fail
4   0.20 8    |  4899     +301  1.10   -1959.1 |  3065  -3129.7 |     +166     +134 |  -1959.1     -994 | fail
4   0.50 8    |  4899     +845  1.24   -1959.1 |  3371  -3594.2 |     +156     +689 |  -1959.1     -487 | fail
4   0.75 8    |  4899    +1215  1.27   -1959.1 |  3673  -4423.1 |     +325     +890 |  -1959.1      -53 | fail
8   0.20 8    |  4375     +307  1.11   -1959.1 |  2718  -2683.6 |     +220      +87 |  -1959.1     -926 | fail
8   0.50 8    |  4375     +297  1.10   -1959.1 |  3036  -3119.1 |     +109     +188 |  -1959.1     -977 | fail
8   0.75 8    |  4375     +269  1.07   -1959.1 |  3464  -3998.2 |     -101     +370 |  -1959.1     -981 | fail
12  0.20 8    |  3868     +199  1.09    -949.8 |  2449  -2308.3 |      +41     +158 |   -949.8     -890 | fail
12  0.50 8    |  3868     +288  1.11    -949.8 |  2710  -2645.9 |      +21     +267 |   -949.8     -847 | fail
12  0.75 8    |  3868     +344  1.10    -949.8 |  3098  -3538.6 |     -104     +448 |   -949.8     -668 | fail
