HONEST-ENTRY-BASIS CERT — coin=CRV early=1 native=0 bars=31062 thr=0.50% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  9313     +418  1.07   -1008.7 |  6002  -6119.7 |     +176     +242 |  -1008.7    -2018 | fail
1   0.50 8    |  9313    +2224  1.34   -1008.7 |  6154  -6634.8 |    +1102    +1122 |  -1008.7     -237 | fail
1   0.75 8    |  9313    +3070  1.45   -1008.7 |  5740  -6873.8 |    +1502    +1568 |  -1008.7     +389 | fail
2   0.20 8    |  9208     +980  1.17   -1008.7 |  5887  -5828.7 |     +215     +765 |  -1008.7    -1423 | fail
2   0.50 8    |  9208    +2717  1.42   -1008.7 |  6123  -6476.2 |    +1117    +1600 |  -1008.7     +295 | fail
2   0.75 8    |  9208    +3532  1.51   -1008.7 |  5773  -6917.2 |    +1452    +2080 |  -1008.7     +979 | fail
4   0.20 8    |  8367    +1388  1.27   -1298.7 |  5170  -5227.1 |     +194    +1194 |  -1298.7     -714 | fail
4   0.50 8    |  8367    +2343  1.40   -1298.7 |  5529  -5860.3 |     +782    +1561 |  -1298.7     +205 | fail
4   0.75 8    |  8367    +3364  1.52   -1298.7 |  5368  -6485.0 |    +1221    +2143 |  -1298.7    +1194 | fail
8   0.20 8    |  6572    +1047  1.25   -1074.4 |  4040  -4131.7 |     +239     +808 |  -1074.4     -632 | fail
8   0.50 8    |  6572    +1441  1.31   -1074.4 |  4450  -4661.3 |     +237    +1204 |  -1074.4     -330 | fail
8   0.75 8    |  6572    +1495  1.26   -1074.4 |  4712  -5720.3 |     +313    +1181 |  -1074.4     -170 | fail
12  0.20 8    |  5427     +697  1.20    -966.7 |  3255  -3447.5 |     +140     +558 |   -966.7     -805 | fail
12  0.50 8    |  5427     +901  1.23    -966.7 |  3578  -3845.2 |      -86     +986 |   -966.7     -652 | fail
12  0.75 8    |  5427    +1153  1.24    -966.7 |  3983  -4753.0 |      +16    +1137 |   -966.7     -297 | fail
