HONEST-ENTRY-BASIS CERT — coin=DOGE early=1 native=0 bars=48569 thr=1.00% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  8872     +775  1.11   -2391.9 |  5687  -6743.3 |     +932     -157 |  -2391.9    -1469 | fail
1   0.50 8    |  8872    +3251  1.43   -2391.9 |  6253  -7596.1 |    +2720     +531 |  -2391.9    +1014 | fail
1   0.75 8    |  8872    +5377  1.62   -2391.9 |  6256  -8607.1 |    +4339    +1038 |  -2391.9    +2965 | fail
2   0.20 8    | 10147     +868  1.12   -1849.7 |  6490  -7306.6 |     +647     +221 |  -1849.7    -1776 | fail
2   0.50 8    | 10147    +3783  1.46   -1849.7 |  7077  -8187.4 |    +2988     +796 |  -1849.7    +1148 | fail
2   0.75 8    | 10147    +6665  1.71   -1849.7 |  7149  -9354.9 |    +5459    +1206 |  -1849.7    +3745 | PASS
4   0.20 8    |  9750    +1443  1.22   -1853.8 |  6079  -6630.3 |    +1111     +332 |  -1853.8    -1112 | fail
4   0.50 8    |  9750    +3867  1.51   -1853.8 |  6618  -7571.6 |    +3015     +852 |  -1853.8    +1573 | fail
4   0.75 8    |  9750    +6993  1.79   -1853.8 |  6805  -8852.2 |    +5770    +1223 |  -1853.8    +4588 | PASS
8   0.20 8    |  7857     +879  1.17   -1656.5 |  5010  -5272.7 |     +959      -79 |  -1656.5    -1257 | fail
8   0.50 8    |  7857    +6199  2.04   -1656.5 |  5482  -5962.0 |    +5468     +731 |  -1656.5    +3945 | PASS
8   0.75 8    |  7857    +8033  2.12   -1656.5 |  5863  -7203.8 |    +6723    +1311 |  -1656.5    +5570 | PASS
12  0.20 8    |  6560     +972  1.22   -1853.8 |  4152  -4338.1 |     +941      +31 |  -1853.8     -768 | fail
12  0.50 8    |  6560    +6283  2.25   -1853.8 |  4625  -5034.7 |    +5937     +346 |  -1853.8    +4422 | PASS
12  0.75 8    |  6560    +9039  2.51   -1853.8 |  4971  -5988.4 |    +8161     +878 |  -1853.8    +7014 | PASS
