HONEST-ENTRY-BASIS CERT — coin=DOT early=1 native=0 bars=31062 thr=0.50% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  7971     -258  0.94   -1030.6 |  5179  -4473.8 |     -106     -152 |  -1030.6    -2377 | fail
1   0.50 8    |  7971    +1083  1.22   -1030.6 |  5313  -5015.7 |     +491     +592 |  -1030.6    -1141 | fail
1   0.75 8    |  7971    +1801  1.34   -1030.6 |  4834  -5272.1 |     +696    +1105 |  -1030.6     -628 | fail
2   0.20 8    |  8019     +243  1.06   -1014.3 |  5101  -4318.4 |      +83     +160 |  -1014.3    -1967 | fail
2   0.50 8    |  8019    +1491  1.30   -1014.3 |  5309  -4906.0 |     +573     +918 |  -1014.3     -787 | fail
2   0.75 8    |  8019    +2289  1.44   -1014.3 |  4864  -5235.5 |     +896    +1392 |  -1014.3     -275 | fail
4   0.20 8    |  7308     +380  1.10    -767.1 |  4533  -3828.0 |      +51     +329 |   -767.1    -1560 | fail
4   0.50 8    |  7308    +1450  1.33    -767.1 |  4871  -4452.3 |     +505     +945 |   -767.1     -513 | fail
4   0.75 8    |  7308    +2189  1.44    -767.1 |  4611  -4963.6 |     +809    +1379 |   -767.1     +137 | fail
8   0.20 8    |  5853      -14  1.00   -1325.5 |  3812  -3219.6 |     -121     +108 |  -1325.5    -1529 | fail
8   0.50 8    |  5853     +500  1.13   -1325.5 |  4191  -3798.0 |      +56     +444 |  -1325.5    -1083 | fail
8   0.75 8    |  5853     +408  1.09   -1325.5 |  4280  -4674.8 |      +28     +380 |  -1325.5    -1111 | fail
12  0.20 8    |  4763      -12  1.00    -890.3 |  3066  -2682.4 |     -231     +220 |   -890.3    -1314 | fail
12  0.50 8    |  4763      -11  1.00    -890.3 |  3343  -3144.6 |     -322     +311 |   -890.3    -1295 | fail
12  0.75 8    |  4763       -6  1.00   -1092.1 |  3581  -3969.3 |     -320     +314 |  -1092.1    -1285 | fail
