HONEST-ENTRY-BASIS CERT — coin=ETC early=1 native=0 bars=31062 thr=0.50% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  7370     -278  0.93    -837.7 |  4834  -3994.5 |     -313      +35 |   -837.7    -2208 | fail
1   0.50 8    |  7370     +597  1.13    -837.7 |  4985  -4602.1 |     +110     +487 |   -837.7    -1352 | fail
1   0.75 8    |  7370    +1097  1.22    -837.7 |  4640  -4954.5 |     +293     +804 |   -837.7     -966 | fail
2   0.20 8    |  7299     +213  1.06    -968.8 |  4729  -3811.4 |      +76     +137 |   -968.8    -1629 | fail
2   0.50 8    |  7299    +1122  1.26    -968.8 |  4881  -4370.7 |     +448     +673 |   -968.8     -754 | fail
2   0.75 8    |  7299    +1637  1.35    -968.8 |  4499  -4720.8 |     +625    +1012 |   -968.8     -435 | fail
4   0.20 8    |  6828      +39  1.01    -888.4 |  4448  -3573.1 |      -99     +138 |   -888.4    -1766 | fail
4   0.50 8    |  6828     +928  1.23    -888.4 |  4631  -4098.4 |     +271     +658 |   -888.4     -891 | fail
4   0.75 8    |  6828    +1143  1.25    -888.4 |  4445  -4607.9 |     +415     +728 |   -888.4     -581 | fail
8   0.20 8    |  5405     +544  1.20    -888.4 |  3373  -2715.6 |     +226     +318 |   -888.4     -878 | fail
8   0.50 8    |  5405     +767  1.24    -888.4 |  3748  -3241.0 |     +238     +529 |   -888.4     -661 | fail
8   0.75 8    |  5405    +1127  1.29    -888.4 |  3729  -3879.6 |     +289     +838 |   -888.4     -373 | fail
12  0.20 8    |  4536     +464  1.21   -1000.6 |  2886  -2258.3 |     +154     +309 |  -1000.6     -670 | fail
12  0.50 8    |  4536     +305  1.11   -1000.6 |  3213  -2717.1 |      -82     +387 |  -1000.6     -869 | fail
12  0.75 8    |  4531     +567  1.16   -1000.6 |  3278  -3522.1 |      +35     +532 |  -1000.6     -551 | fail
