HONEST-ENTRY-BASIS CERT — coin=ETH early=1 native=0 bars=48568 thr=2.00% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  2120     +314  1.24   -1128.4 |  1174  -1311.0 |     +234      +80 |  -1128.4     -260 | fail
1   0.50 8    |  2120    +1275  1.84   -1128.4 |  1334  -1518.3 |     +902     +373 |  -1128.4     +649 | PASS
1   0.75 8    |  2120    +1346  1.68   -1128.4 |  1554  -1977.6 |     +918     +429 |  -1128.4     +666 | fail
2   0.20 8    |  3373      -86  0.96   -1128.4 |  1964  -2094.6 |      -23      -64 |  -1128.4    -1089 | fail
2   0.50 8    |  3373     +336  1.14   -1128.4 |  2222  -2450.4 |     +241      +95 |  -1128.4     -783 | fail
2   0.75 8    |  3373     +514  1.16   -1128.4 |  2558  -3127.4 |     +227     +287 |  -1128.4     -837 | fail
4   0.20 8    |  4091     +236  1.10   -1153.2 |  2420  -2370.7 |      +43     +194 |  -1153.2     -804 | fail
4   0.50 8    |  4091     +955  1.33   -1153.2 |  2743  -2865.4 |     +491     +464 |  -1153.2     -130 | fail
4   0.75 8    |  4091     +935  1.25   -1153.2 |  3163  -3696.1 |     +686     +250 |  -1153.2     -125 | fail
8   0.20 8    |  4188     +213  1.09   -1139.4 |  2489  -2252.4 |     +155      +58 |  -1139.4     -916 | fail
8   0.50 8    |  4188     +307  1.11   -1139.4 |  2872  -2801.2 |      +97     +210 |  -1139.4     -856 | fail
8   0.75 8    |  4188     +624  1.17   -1139.4 |  3190  -3713.9 |     +429     +194 |  -1139.4     -576 | fail
12  0.20 8    |  3882      +30  1.01   -1153.1 |  2399  -2146.2 |      -54      +84 |  -1153.1     -954 | fail
12  0.50 8    |  3882     +370  1.14   -1153.1 |  2724  -2648.7 |     +244     +126 |  -1153.1     -683 | fail
12  0.75 8    |  3882     +647  1.19   -1153.1 |  3018  -3332.3 |     +467     +180 |  -1153.1     -407 | fail
