HONEST-ENTRY-BASIS CERT — coin=FIL early=1 native=0 bars=31062 thr=1.50% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  3272     +399  1.17   -1345.0 |  1996  -2391.0 |      -56     +455 |  -1345.0     -463 | fail
1   0.50 8    |  3272     +864  1.31   -1345.0 |  2219  -2786.3 |     +188     +676 |  -1345.0       -6 | fail
1   0.75 8    |  3272    +1144  1.34   -1345.0 |  2492  -3360.1 |     +482     +662 |  -1345.0     +290 | fail
2   0.20 8    |  4454     +129  1.04   -1345.0 |  2722  -3144.5 |      -52     +181 |  -1345.0    -1050 | fail
2   0.50 8    |  4454     +376  1.10   -1345.0 |  3025  -3652.8 |      +58     +319 |  -1345.0     -776 | fail
2   0.75 8    |  4454     +963  1.22   -1345.0 |  3235  -4306.5 |     +448     +515 |  -1345.0     -195 | fail
4   0.20 8    |  4735     +805  1.27   -1348.9 |  2828  -3028.4 |     +316     +489 |  -1348.9     -461 | fail
4   0.50 8    |  4735     +834  1.24   -1348.9 |  3199  -3546.2 |     +233     +601 |  -1348.9     -454 | fail
4   0.75 8    |  4735    +1693  1.40   -1348.9 |  3385  -4268.4 |     +540    +1153 |  -1348.9     +184 | fail
8   0.20 8    |  4308     +515  1.19   -1488.7 |  2676  -2780.7 |     +184     +331 |  -1488.7     -667 | fail
8   0.50 8    |  4308    +1401  1.44   -1488.7 |  2963  -3192.9 |     +302    +1099 |  -1488.7     +249 | fail
8   0.75 8    |  4308    +1599  1.39   -1488.7 |  3259  -4147.8 |     +334    +1265 |  -1488.7     +491 | fail
12  0.20 8    |  3706     +534  1.23   -1353.6 |  2325  -2307.8 |     +116     +417 |  -1353.6     -519 | fail
12  0.50 8    |  3706    +1136  1.42   -1353.6 |  2546  -2705.5 |      +84    +1052 |  -1353.6     +114 | fail
12  0.75 8    |  3706    +1534  1.44   -1353.6 |  2859  -3511.4 |     +312    +1222 |  -1353.6     +557 | fail
