HONEST-ENTRY-BASIS CERT — coin=GRT early=1 native=0 bars=48569 thr=0.50% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    | 15397     -220  0.98   -1555.6 |  9745 -11153.0 |     -191      -28 |  -1555.6    -4266 | fail
1   0.50 8    | 15397    +3708  1.31   -1555.6 |  9995 -12015.2 |    +2083    +1625 |  -1555.6     -495 | fail
1   0.75 8    | 15397    +5427  1.44   -1555.6 |  9230 -12301.2 |    +2982    +2445 |  -1555.6     +985 | fail
2   0.20 8    | 14949    +1823  1.18   -1186.7 |  9162 -10093.4 |    +1006     +818 |  -1186.7    -2098 | fail
2   0.50 8    | 14949    +5104  1.46   -1186.7 |  9646 -11178.0 |    +2655    +2449 |  -1186.7    +1135 | fail
2   0.75 8    | 14949    +6618  1.55   -1186.7 |  9191 -12051.2 |    +3476    +3142 |  -1186.7    +2480 | fail
4   0.20 8    | 13301    +2118  1.24   -2312.3 |  7940  -8654.0 |     +953    +1165 |  -2312.3    -1485 | fail
4   0.50 8    | 13301    +4387  1.45   -2312.3 |  8590  -9812.4 |    +2186    +2201 |  -2312.3     +738 | fail
4   0.75 8    | 13301    +5904  1.53   -2312.3 |  8598 -11225.8 |    +3283    +2621 |  -2312.3    +2179 | fail
8   0.20 8    | 10434    +1462  1.21   -1170.7 |  6241  -6879.9 |     +843     +618 |  -1170.7    -1314 | fail
8   0.50 8    | 10434    +2825  1.36   -1170.7 |  6951  -7928.5 |    +1418    +1407 |  -1170.7      -89 | fail
8   0.75 8    | 10434    +3469  1.36   -1170.7 |  7484  -9559.7 |    +1755    +1714 |  -1170.7     +579 | fail
12  0.20 8    |  8518    +1105  1.20   -1107.2 |  5120  -5625.3 |     +596     +508 |  -1107.2    -1216 | fail
12  0.50 8    |  8518    +1757  1.27   -1107.2 |  5748  -6503.9 |     +845     +912 |  -1107.2     -579 | fail
12  0.75 8    |  8518    +1578  1.19   -1107.2 |  6455  -8127.2 |     +585     +993 |  -1107.2     -639 | fail
