HONEST-ENTRY-BASIS CERT — coin=ICP early=1 native=0 bars=31062 thr=0.50% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  9181     -646  0.89    -865.2 |  5993  -5848.7 |     -346     -300 |   -865.2    -3031 | fail
1   0.50 8    |  9181     +962  1.15    -991.3 |  6138  -6424.5 |     +521     +441 |   -991.3    -1417 | fail
1   0.75 8    |  9181    +1828  1.27    -991.3 |  5679  -6676.2 |     +828    +1000 |   -991.3     -768 | fail
2   0.20 8    |  8997       +5  1.00   -1133.4 |  5745  -5438.5 |      +21      -16 |  -1133.4    -2379 | fail
2   0.50 8    |  8997    +1589  1.26   -1133.4 |  6035  -6134.3 |     +717     +872 |  -1133.4     -773 | fail
2   0.75 8    |  8997    +2647  1.41   -1133.4 |  5597  -6484.3 |    +1265    +1382 |  -1133.4      +57 | fail
4   0.20 8    |  8116     +583  1.12   -1122.2 |  4954  -4710.0 |     +218     +366 |  -1122.2    -1590 | fail
4   0.50 8    |  8116    +2046  1.38   -1122.2 |  5347  -5353.2 |     +731    +1314 |  -1122.2     -252 | fail
4   0.75 8    |  8113    +2844  1.47   -1122.2 |  5180  -6079.5 |    +1163    +1681 |  -1122.2     +418 | fail
8   0.20 8    |  6275     +148  1.04   -1420.9 |  3939  -3765.7 |      -13     +161 |  -1420.9    -1543 | fail
8   0.50 8    |  6272     +821  1.18   -1420.9 |  4362  -4471.2 |     +240     +581 |  -1420.9     -938 | fail
8   0.75 8    |  6272    +1253  1.22   -1420.9 |  4623  -5626.9 |     +583     +670 |  -1420.9     -454 | fail
12  0.20 8    |  5103      -40  0.99   -1591.4 |  3270  -3175.3 |     -142     +102 |  -1591.4    -1412 | fail
12  0.50 8    |  5102     +484  1.13   -1591.4 |  3593  -3717.5 |     +237     +246 |  -1591.4     -889 | fail
12  0.75 8    |  5099     +934  1.20   -1591.4 |  3922  -4595.2 |     +635     +299 |  -1591.4     -474 | fail
