HONEST-ENTRY-BASIS CERT — coin=LDO early=1 native=0 bars=34542 thr=1.00% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  7899    +1118  1.19   -1017.7 |  4772  -5874.3 |     +552     +566 |  -1017.7    -1099 | fail
1   0.50 8    |  7899    +2499  1.39   -1017.7 |  5080  -6453.4 |    +1247    +1252 |  -1017.7     +177 | fail
1   0.75 8    |  7899    +3277  1.45   -1017.7 |  5144  -7234.7 |    +1752    +1525 |  -1017.7     +765 | fail
2   0.20 8    |  8601    +1490  1.25   -2135.2 |  5095  -6065.1 |     +667     +823 |  -2135.2     -744 | fail
2   0.50 8    |  8601    +2776  1.42   -2135.2 |  5465  -6639.4 |    +1389    +1387 |  -2135.2     +507 | fail
2   0.75 8    |  8601    +3819  1.51   -2135.2 |  5571  -7550.4 |    +1868    +1951 |  -2135.2    +1461 | fail
4   0.20 8    |  7934    +1505  1.28   -1196.4 |  4783  -5348.8 |     +708     +798 |  -1196.4     -601 | fail
4   0.50 8    |  7934    +2626  1.43   -1932.7 |  5203  -6109.5 |    +1516    +1110 |  -1932.7     +455 | fail
4   0.75 8    |  7934    +3898  1.55   -1932.7 |  5376  -7044.1 |    +2046    +1852 |  -1932.7    +1691 | fail
8   0.20 8    |  6385    +1001  1.23   -1877.4 |  3943  -4442.8 |     +569     +431 |  -1877.4     -737 | fail
8   0.50 8    |  6385    +1414  1.28   -1877.4 |  4311  -5104.8 |     +989     +425 |  -1877.4     -346 | fail
8   0.75 8    |  6385    +1671  1.27   -1877.4 |  4735  -6280.7 |    +1246     +425 |  -1877.4      +61 | fail
12  0.20 8    |  5212     +352  1.09   -2128.4 |  3223  -3930.0 |     +266      +86 |  -2128.4    -1059 | fail
12  0.50 8    |  5212    +1182  1.27   -2128.4 |  3510  -4424.0 |    +1061     +121 |  -2128.4     -235 | fail
12  0.75 8    |  5212    +1930  1.36   -2128.4 |  3876  -5328.1 |    +1516     +413 |  -2128.4     +507 | fail
