HONEST-ENTRY-BASIS CERT — coin=LTC early=1 native=0 bars=48569 thr=1.00% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  8000     -594  0.89   -1875.4 |  5044  -5430.7 |     -192     -402 |  -1875.4    -2688 | fail
1   0.50 8    |  8000      -75  0.99   -1875.4 |  5635  -6156.7 |     +307     -382 |  -1875.4    -2241 | fail
1   0.75 8    |  8000    +1050  1.15   -1875.4 |  5681  -7134.6 |     +949     +101 |  -1875.4    -1086 | fail
2   0.20 8    |  9282     -126  0.98   -1022.9 |  5793  -5695.0 |     +144     -270 |  -1022.9    -2503 | fail
2   0.50 8    |  9282     +258  1.04   -1022.9 |  6503  -6602.4 |     +336      -78 |  -1022.9    -2122 | fail
2   0.75 8    |  9282    +1290  1.17   -1022.9 |  6505  -7629.8 |    +1043     +247 |  -1022.9    -1153 | fail
4   0.20 8    |  9191     -564  0.90   -1502.3 |  5933  -5664.6 |      -58     -506 |  -1502.3    -3010 | fail
4   0.50 8    |  9184     -155  0.98   -1502.3 |  6525  -6599.4 |     +129     -284 |  -1502.3    -2704 | fail
4   0.75 8    |  9184     +775  1.10   -1502.3 |  6624  -7759.5 |     +969     -194 |  -1502.3    -2008 | fail
8   0.20 8    |  7707     -160  0.96   -1756.6 |  4947  -4534.5 |     +365     -525 |  -1756.6    -2245 | fail
8   0.50 8    |  7700      -96  0.98   -1756.6 |  5476  -5242.4 |     +435     -531 |  -1756.6    -2184 | fail
8   0.75 8    |  7700     +375  1.06   -1756.6 |  5772  -6615.4 |     +988     -613 |  -1756.6    -1698 | fail
12  0.20 8    |  6612     -297  0.93   -1857.2 |  4261  -3994.0 |     +138     -435 |  -1857.2    -2084 | fail
12  0.50 8    |  6607     -210  0.95   -1857.2 |  4634  -4525.4 |     +100     -310 |  -1857.2    -2070 | fail
12  0.75 8    |  6607     -194  0.97   -1857.2 |  5083  -5794.2 |      +66     -260 |  -1857.2    -1966 | fail
