HONEST-ENTRY-BASIS CERT — coin=MANA early=1 native=0 bars=31062 thr=0.50% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  8608      +82  1.02    -954.2 |  5535  -5076.5 |      -20     +102 |   -954.2    -2211 | fail
1   0.50 8    |  8608    +1880  1.33    -954.2 |  5702  -5698.8 |     +773    +1107 |   -954.2     -683 | fail
1   0.75 8    |  8608    +2585  1.43    -954.2 |  5261  -5962.1 |    +1157    +1428 |   -954.2     -193 | fail
2   0.20 8    |  8491     +381  1.08    -954.2 |  5358  -4803.4 |     +191     +189 |   -954.2    -1866 | fail
2   0.50 8    |  8491    +2185  1.40    -954.2 |  5576  -5461.5 |     +967    +1218 |   -954.2     -250 | fail
2   0.75 8    |  8491    +3071  1.53    -954.2 |  5126  -5806.6 |    +1418    +1652 |   -954.2     +385 | fail
4   0.20 8    |  7597     +728  1.17   -1016.2 |  4725  -4208.4 |     +110     +618 |  -1016.2    -1260 | fail
4   0.50 8    |  7597    +2183  1.44   -1016.2 |  5006  -4955.1 |     +692    +1491 |  -1016.2      +74 | fail
4   0.75 8    |  7597    +2653  1.48   -1016.2 |  4925  -5560.7 |     +855    +1797 |  -1016.2     +386 | fail
8   0.20 8    |  6021     +448  1.13    -977.6 |  3786  -3355.4 |     +212     +236 |   -977.6    -1112 | fail
8   0.50 8    |  6021     +989  1.24    -977.6 |  4195  -4068.6 |     +372     +617 |   -977.6     -513 | fail
8   0.75 8    |  6021    +1293  1.27    -977.6 |  4295  -4867.0 |     +500     +793 |   -977.6     -180 | fail
12  0.20 8    |  5055     +549  1.19   -1024.9 |  3163  -2896.9 |     +290     +258 |  -1024.9     -716 | fail
12  0.50 8    |  5055    +1094  1.32   -1024.9 |  3462  -3427.0 |     +282     +812 |  -1024.9     -213 | fail
12  0.75 8    |  5055     +791  1.18   -1129.0 |  3755  -4290.4 |     +182     +609 |  -1129.0     -497 | fail
