HONEST-ENTRY-BASIS CERT — coin=OP early=1 native=0 bars=36190 thr=0.50% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    | 11679     -157  0.98   -1590.3 |  7773  -8286.1 |      +93     -250 |  -1590.3    -3152 | fail
1   0.50 8    | 11679    +2367  1.27   -1590.3 |  7930  -8906.7 |    +1573     +794 |  -1590.3     -681 | fail
1   0.75 8    | 11679    +3696  1.40   -1590.3 |  7306  -9252.1 |    +2369    +1327 |  -1590.3     +201 | fail
2   0.20 8    | 11273    +1372  1.18   -1498.0 |  7063  -7683.4 |    +1024     +348 |  -1498.0    -1550 | fail
2   0.50 8    | 11273    +3445  1.41   -1498.0 |  7336  -8321.5 |    +2201    +1244 |  -1498.0     +443 | fail
2   0.75 8    | 11273    +4545  1.52   -1498.0 |  6977  -8790.5 |    +2791    +1754 |  -1498.0    +1191 | fail
4   0.20 8    | 10055    +1970  1.30   -1498.0 |  5971  -6646.8 |    +1843     +127 |  -1498.0     -661 | fail
4   0.50 8    | 10055    +3901  1.53   -1498.0 |  6479  -7423.8 |    +2861    +1040 |  -1498.0    +1215 | fail
4   0.75 8    | 10055    +4774  1.57   -1498.0 |  6418  -8338.4 |    +3418    +1356 |  -1498.0    +1965 | fail
8   0.20 8    |  7699    +1096  1.21   -1498.0 |  4703  -5286.3 |    +1293     -197 |  -1498.0     -943 | fail
8   0.50 8    |  7699    +2078  1.35   -1498.0 |  5172  -5983.7 |    +1758     +320 |  -1498.0      -21 | fail
8   0.75 8    |  7699    +2999  1.42   -1498.0 |  5519  -7077.0 |    +2411     +588 |  -1498.0     +850 | fail
12  0.20 8    |  6351     +432  1.10   -1559.4 |  3933  -4329.2 |     +568     -136 |  -1559.4    -1236 | fail
12  0.50 8    |  6351    +1584  1.32   -1559.4 |  4346  -4913.5 |    +1198     +385 |  -1559.4     -158 | fail
12  0.75 8    |  6351    +2539  1.42   -1559.4 |  4770  -6018.1 |    +1971     +568 |  -1559.4     +839 | fail
