HONEST-ENTRY-BASIS CERT — coin=RUNE early=1 native=0 bars=31062 thr=1.00% confirm=60bp anchor=1 RT=29.3/58.6bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  5765    +1319  1.36   -1491.1 |  3317  -3695.4 |    +1085     +234 |  -1491.1     -323 | fail
1   0.50 8    |  5765    +2897  1.69   -1491.1 |  3666  -4194.8 |    +2095     +802 |  -1491.1    +1126 | fail
1   0.75 8    |  5765    +3494  1.72   -1491.1 |  3772  -4841.3 |    +2376    +1118 |  -1491.1    +1661 | fail
2   0.20 8    |  6724    +1862  1.49   -1314.7 |  3805  -3797.7 |    +1610     +252 |  -1314.7      -11 | fail
2   0.50 8    |  6724    +3420  1.75   -1314.7 |  4283  -4540.0 |    +2600     +820 |  -1314.7    +1466 | fail
2   0.75 8    |  6716    +3674  1.67   -1314.7 |  4390  -5479.1 |    +2804     +870 |  -1314.7    +1858 | fail
4   0.20 8    |  6266    +2023  1.58   -1288.4 |  3559  -3475.2 |    +1429     +595 |  -1288.4     +270 | fail
4   0.50 8    |  6266    +2816  1.68   -1288.4 |  4047  -4150.9 |    +2004     +812 |  -1288.4     +965 | fail
4   0.75 8    |  6258    +3386  1.67   -1288.4 |  4123  -5030.2 |    +2409     +976 |  -1288.4    +1411 | fail
8   0.20 8    |  5131    +1270  1.43   -1255.3 |  2926  -2946.1 |    +1167     +103 |  -1255.3     -166 | fail
8   0.50 8    |  5123    +1899  1.53   -1255.3 |  3348  -3600.2 |    +1523     +376 |  -1255.3     +454 | fail
8   0.75 8    |  5123    +2552  1.56   -1255.3 |  3600  -4516.5 |    +1766     +786 |  -1255.3     +947 | fail
12  0.20 8    |  4323    +1150  1.44    -917.3 |  2463  -2593.4 |     +882     +268 |   -917.3      -33 | fail
12  0.50 8    |  4323    +1516  1.49    -917.3 |  2798  -3109.9 |    +1028     +489 |   -917.3     +309 | fail
12  0.75 8    |  4315    +2001  1.50   -1569.4 |  3139  -3967.9 |    +1467     +534 |  -1569.4     +718 | fail
