HONEST-ENTRY-BASIS CERT — coin=SAND early=1 native=0 bars=31062 thr=1.50% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  3205     +424  1.20   -1346.3 |  1965  -2160.5 |     +346      +78 |  -1346.3     -367 | fail
1   0.50 8    |  3205     +499  1.20   -1346.3 |  2187  -2495.7 |     +309     +189 |  -1346.3     -256 | fail
1   0.75 8    |  3205     +714  1.23   -1346.3 |  2408  -3057.9 |     +484     +230 |  -1346.3      -29 | fail
2   0.20 8    |  4335     +637  1.23   -1301.6 |  2627  -2742.6 |     +141     +496 |  -1301.6     -470 | fail
2   0.50 8    |  4335    +1274  1.40   -1301.6 |  2959  -3172.5 |     +434     +840 |  -1301.6     +203 | fail
2   0.75 8    |  4335    +1578  1.41   -1301.6 |  3171  -3887.4 |     +592     +986 |  -1301.6     +327 | fail
4   0.20 8    |  4775     +641  1.22   -1208.8 |  2942  -2915.2 |     +291     +350 |  -1208.8     -630 | fail
4   0.50 8    |  4775    +1284  1.38   -1208.8 |  3282  -3416.7 |     +745     +538 |  -1208.8     -125 | fail
4   0.75 8    |  4775    +1269  1.30   -1208.8 |  3547  -4165.3 |     +756     +512 |  -1208.8     -158 | fail
8   0.20 8    |  4137     +318  1.13   -1140.9 |  2664  -2501.9 |      -96     +413 |  -1140.9     -765 | fail
8   0.50 8    |  4137    +1116  1.38   -1812.8 |  2890  -2920.9 |     -127    +1243 |  -1812.8       -8 | fail
8   0.75 8    |  4137    +1292  1.34   -1812.8 |  3149  -3775.1 |      -99    +1391 |  -1812.8     +198 | fail
12  0.20 8    |  3698      +86  1.04    -968.1 |  2374  -2231.8 |      -81     +167 |   -968.1     -917 | fail
12  0.50 8    |  3698     +486  1.18    -968.1 |  2626  -2643.3 |     -304     +790 |   -968.1     -537 | fail
12  0.75 8    |  3698     +627  1.19    -968.1 |  2892  -3330.4 |     -283     +910 |   -968.1     -339 | fail
