HONEST-ENTRY-BASIS CERT — coin=SOL early=1 native=0 bars=48569 thr=0.50% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    | 15041     +175  1.02   -1479.8 |  9548 -10143.9 |     +803     -627 |  -1479.8    -3642 | fail
1   0.50 8    | 15041    +3805  1.34   -1479.8 |  9782 -11129.4 |    +3163     +642 |  -1479.8      -60 | fail
1   0.75 8    | 15041    +5544  1.48   -1479.8 |  9008 -11560.2 |    +4198    +1346 |  -1479.8    +1224 | fail
2   0.20 8    | 14746    +1788  1.19   -1479.8 |  9099  -9337.9 |    +2065     -278 |  -1479.8    -1998 | fail
2   0.50 8    | 14746    +5000  1.48   -1479.8 |  9527 -10374.2 |    +4000    +1000 |  -1479.8    +1109 | fail
2   0.75 8    | 14746    +6927  1.62   -1479.8 |  8837 -11117.0 |    +5205    +1722 |  -1479.8    +2752 | fail
4   0.20 8    | 13278    +2812  1.35   -2060.8 |  7808  -8033.4 |    +2481     +330 |  -2060.8     -596 | fail
4   0.50 8    | 13278    +5486  1.60   -2060.8 |  8444  -9140.1 |    +4361    +1126 |  -2060.8    +1981 | fail
4   0.75 8    | 13278    +7063  1.68   -2060.8 |  8291 -10440.3 |    +5003    +2059 |  -2060.8    +3277 | fail
8   0.20 8    | 10321    +2240  1.36   -1479.8 |  6156  -6181.1 |    +2050     +190 |  -1479.8     -385 | fail
8   0.50 8    | 10321    +3547  1.50   -1479.8 |  6680  -7107.4 |    +2578     +969 |  -1479.8     +830 | fail
8   0.75 8    | 10321    +4948  1.58   -1479.8 |  7100  -8512.2 |    +3380    +1568 |  -1479.8    +2040 | fail
12  0.20 8    |  8373    +2211  1.44   -1383.6 |  4884  -5037.9 |    +2018     +193 |  -1383.6     +110 | fail
12  0.50 8    |  8373    +3272  1.56   -1383.6 |  5269  -5834.0 |    +2161    +1111 |  -1383.6    +1206 | fail
12  0.75 8    |  8373    +4758  1.65   -1383.6 |  5901  -7349.7 |    +3090    +1668 |  -1383.6    +2411 | fail
