HONEST-ENTRY-BASIS CERT — coin=SUI early=1 native=0 bars=28123 thr=0.50% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  8692     +377  1.07    -777.9 |  5554  -5777.9 |     +111     +266 |   -777.9    -1859 | fail
1   0.50 8    |  8692    +2352  1.37    -777.9 |  5719  -6309.3 |    +1141    +1211 |   -777.9       -5 | fail
1   0.75 8    |  8692    +3320  1.51    -777.9 |  5298  -6503.8 |    +1688    +1632 |   -777.9     +672 | fail
2   0.20 8    |  8344    +1152  1.22    -777.9 |  5210  -5325.0 |     +694     +458 |   -777.9     -984 | fail
2   0.50 8    |  8344    +3097  1.52    -777.9 |  5474  -5901.2 |    +1851    +1246 |   -777.9     +758 | fail
2   0.75 8    |  8344    +4062  1.64    -777.9 |  5081  -6316.2 |    +2442    +1620 |   -777.9    +1562 | fail
4   0.20 8    |  7649    +1437  1.30   -1831.6 |  4704  -4845.1 |     +895     +542 |  -1831.6     -564 | fail
4   0.50 8    |  7649    +2581  1.47   -1831.6 |  5032  -5444.3 |    +1580    +1001 |  -1831.6     +491 | fail
4   0.75 8    |  7649    +3465  1.56   -1831.6 |  5029  -6153.2 |    +1922    +1543 |  -1831.6    +1177 | fail
8   0.20 8    |  5918    +1143  1.30   -1608.1 |  3628  -3774.5 |     +631     +511 |  -1608.1     -400 | fail
8   0.50 8    |  5918    +1861  1.43   -1608.1 |  3983  -4308.1 |    +1066     +794 |  -1608.1     +200 | fail
8   0.75 8    |  5918    +2377  1.45   -1608.1 |  4318  -5267.4 |    +1133    +1245 |  -1608.1     +565 | fail
12  0.20 8    |  4741    +1019  1.33   -1596.1 |  2843  -3085.3 |     +500     +519 |  -1596.1     -197 | fail
12  0.50 8    |  4741    +1827  1.52   -1596.1 |  3124  -3543.1 |     +924     +903 |  -1596.1     +548 | fail
12  0.75 8    |  4741    +2508  1.57   -1596.1 |  3456  -4365.0 |    +1322    +1186 |  -1596.1    +1185 | fail
