HONEST-ENTRY-BASIS CERT — coin=SUSHI early=1 native=0 bars=31062 thr=1.00% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  6417     +847  1.20    -907.0 |  3926  -4254.0 |      -18     +865 |   -907.0     -838 | fail
1   0.50 8    |  6417    +1671  1.35    -907.0 |  4255  -4796.0 |     +515    +1156 |   -907.0      -42 | fail
1   0.75 8    |  6417    +2158  1.39    -907.0 |  4354  -5584.0 |     +847    +1311 |   -907.0     +281 | fail
2   0.20 8    |  7279     +894  1.19   -1330.2 |  4490  -4643.5 |     +134     +761 |  -1330.2    -1020 | fail
2   0.50 8    |  7279    +1914  1.36   -1330.2 |  4924  -5305.0 |     +702    +1212 |  -1330.2       -4 | fail
2   0.75 8    |  7279    +2735  1.45   -1330.2 |  4931  -6035.3 |    +1158    +1578 |  -1330.2     +490 | fail
4   0.20 8    |  6883    +1000  1.24   -1598.3 |  4223  -4237.3 |      +14     +986 |  -1598.3     -919 | fail
4   0.50 8    |  6883    +1930  1.39   -1598.3 |  4638  -4922.2 |     +260    +1670 |  -1598.3      +25 | fail
4   0.75 8    |  6883    +2646  1.46   -1598.3 |  4776  -5790.7 |     +531    +2115 |  -1598.3     +654 | fail
8   0.20 8    |  5558     +647  1.19   -1550.6 |  3442  -3412.5 |      -22     +669 |  -1550.6     -780 | fail
8   0.50 8    |  5558     +964  1.24   -1550.6 |  3821  -3997.6 |      -27     +991 |  -1550.6     -354 | fail
8   0.75 8    |  5558    +1137  1.22   -1550.6 |  4155  -5056.9 |     -103    +1240 |  -1550.6     -318 | fail
12  0.20 8    |  4597     +320  1.11    -967.2 |  2882  -2892.0 |     -144     +464 |   -967.2     -821 | fail
12  0.50 8    |  4597     +941  1.28    -967.2 |  3201  -3351.6 |      +44     +897 |   -967.2     -176 | fail
12  0.75 8    |  4597    +1038  1.25    -967.2 |  3585  -4192.6 |     -133    +1171 |   -967.2     -304 | fail
