HONEST-ENTRY-BASIS CERT — coin=TIA early=1 native=0 bars=23775 thr=2.00% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    |  2755    +1012  1.45   -1289.9 |  1523  -2250.9 |     +819     +193 |  -1289.9     +274 | fail
1   0.50 8    |  2755    +1187  1.48   -1289.9 |  1683  -2480.1 |     +991     +196 |  -1289.9     +442 | fail
1   0.75 8    |  2755    +1848  1.64   -1289.9 |  1949  -2883.3 |    +1694     +154 |  -1289.9    +1085 | PASS
2   0.20 8    |  3824     +400  1.12    -988.6 |  2296  -3224.6 |     +343      +56 |   -988.6     -591 | fail
2   0.50 8    |  3824     +825  1.23    -988.6 |  2535  -3574.6 |     +567     +258 |   -988.6     -192 | fail
2   0.75 8    |  3824    +1406  1.33    -988.6 |  2861  -4217.0 |    +1064     +342 |   -988.6     +354 | fail
4   0.20 8    |  4098     +726  1.22   -1015.6 |  2453  -3230.9 |     +751      -25 |  -1015.6     -421 | fail
4   0.50 8    |  4098    +1683  1.47   -1015.6 |  2729  -3581.4 |    +1287     +396 |  -1015.6     +496 | fail
4   0.75 8    |  4098    +1769  1.42   -1015.6 |  3011  -4219.0 |    +1223     +547 |  -1015.6     +493 | fail
8   0.20 8    |  3554     +285  1.10   -1026.6 |  2183  -2766.1 |     +388     -103 |  -1026.6     -644 | fail
8   0.50 8    |  3554     +267  1.09   -1026.6 |  2456  -3100.8 |     +122     +144 |  -1026.6     -607 | fail
8   0.75 8    |  3554     +523  1.14   -1026.6 |  2733  -3794.5 |     +248     +275 |  -1026.6     -403 | fail
12  0.20 8    |  3108     +499  1.21   -1037.3 |  1872  -2409.5 |     +546      -47 |  -1037.3     -304 | fail
12  0.50 8    |  3108     +768  1.29   -1037.3 |  2000  -2669.1 |     +363     +405 |  -1037.3      -61 | fail
12  0.75 8    |  3108     +551  1.16   -1037.3 |  2414  -3394.3 |     +422     +130 |  -1037.3     -285 | fail
