HONEST-ENTRY-BASIS CERT — coin=UNI early=1 native=0 bars=48569 thr=0.50% confirm=60bp anchor=1 RT=28.0/56.0bp (entry re-based to le*(1+confirm))
W   g    leg  |     n     net%    PF  worst_bp |  nNeg  sumNeg% |      H1%      H2% | floorMinBp   2xnet% | GATE(base;2x; omit22)
1   0.20 8    | 15009     +328  1.03   -1457.6 |  9691 -10304.9 |     +100     +228 |  -1457.6    -3518 | fail
1   0.50 8    | 15009    +4093  1.37   -1457.6 |  9720 -11101.3 |    +1797    +2296 |  -1457.6      -62 | fail
1   0.75 8    | 15009    +5474  1.48   -1457.6 |  9007 -11475.4 |    +2573    +2901 |  -1457.6    +1078 | fail
2   0.20 8    | 14391    +1633  1.17   -1420.0 |  8999  -9402.8 |     +789     +844 |  -1420.0    -2062 | fail
2   0.50 8    | 14391    +4499  1.43   -1420.0 |  9411 -10396.8 |    +2011    +2487 |  -1420.0     +606 | fail
2   0.75 8    | 14391    +6606  1.60   -1420.0 |  8874 -10953.4 |    +3060    +3547 |  -1420.0    +1989 | fail
4   0.20 8    | 13208    +2256  1.28   -1375.6 |  8106  -8194.2 |     +918    +1338 |  -1375.6    -1272 | fail
4   0.50 8    | 13208    +4620  1.50   -1375.6 |  8665  -9238.9 |    +2195    +2425 |  -1375.6     +973 | fail
4   0.75 8    | 13208    +5899  1.57   -1375.6 |  8531 -10396.4 |    +2980    +2919 |  -1375.6    +1924 | fail
8   0.20 8    | 10411    +1394  1.22    -935.3 |  6395  -6382.3 |     +519     +875 |   -935.3    -1343 | fail
8   0.50 8    | 10411    +2506  1.34    -935.3 |  7099  -7379.0 |     +671    +1835 |   -935.3     -307 | fail
8   0.75 8    | 10411    +3640  1.40    -935.3 |  7489  -9009.8 |    +1317    +2323 |   -935.3     +486 | fail
12  0.20 8    |  8361     +617  1.11   -1239.1 |  5217  -5369.2 |     +410     +207 |  -1239.1    -1588 | fail
12  0.50 8    |  8361    +1535  1.25   -1239.1 |  5728  -6158.2 |     +898     +637 |  -1239.1     -733 | fail
12  0.75 8    |  8361    +2295  1.30   -1239.1 |  6229  -7733.2 |    +1192    +1103 |  -1239.1      -55 | fail
